,yieH
Cr_1,-0.0012547397799200935
Cr_2,-0.0005438074986640289
Cr_3,0.008638830086643573
Cr_4,0.010302546717360124
Cr_5,0.014169286909012431
Cr_6,0.0192146875331141
Fe_1,-0.02264474831676385
Fe_2,-0.036151139848474685
Fe_3,-0.03937379200002517
Fe_4,-0.04691497832814005
Fe_5,-0.03758367541502521
Fe_6,-0.03209637317843446
Cd_1,-0.0013211748750275286
Cd_2,8.079043994073639e-05
Cd_3,0.0054463770938041325
Cd_4,0.008401175748239632
Cd_5,0.009103053082772672
Cd_6,0.009730405450879056
Zn_1,-0.021832787504640714
Zn_2,-0.01902668079078235
Zn_3,-0.014380146699713376
Zn_4,-0.01273861701736992
Zn_5,-0.013559771169804329
Zn_6,-0.019974751625095804
Cu_1,0.0012901796280391884
Cu_2,0.01183068404398837
Cu_3,0.01762986270341271
Cu_4,0.02010048732321406
Cu_5,0.022577981414874455
Cu_6,0.02995100203715566
Pb_1,1.3008100447595025e-05
Pb_2,0.009788074206370146
Pb_3,0.02038609158974336
Pb_4,0.025934401672740998
Pb_5,0.03452087165196605
Pb_6,0.044846459713019655
