,yfbJ
Cr_1,-0.009718841773801293
Cr_2,-0.013192647817877013
Cr_3,-0.004179163827267171
Cr_4,0.014000236852755284
Cr_5,0.031077913202821886
Cr_6,0.042850880986487434
Fe_1,-0.01341052459696307
Fe_2,-0.062024728354003834
Fe_3,-0.12549914524722586
Fe_4,-0.2165990021551238
Fe_5,-0.31005264749732325
Fe_6,-0.3941736795984487
Cd_1,0.009153759585802192
Cd_2,0.02057587539828913
Cd_3,0.02920976197321481
Cd_4,0.04176013555756848
Cd_5,0.04459956445498064
Cd_6,0.05519662231294231
Zn_1,-0.01870349548010174
Zn_2,-0.030691376387286886
Zn_3,-0.04886547520795202
Zn_4,-0.03972809051278309
Zn_5,-0.03914716043486473
Zn_6,-0.05952107323567575
Cu_1,0.008572444673642708
Cu_2,0.01251078256295686
Cu_3,0.010746440045273923
Cu_4,0.012258740635150577
Cu_5,0.013814832368123269
Cu_6,0.020596635716769358
Pb_1,0.002645348328892665
Pb_2,0.004459701159009484
Pb_3,0.011577597460638526
Pb_4,0.02024038847164445
Pb_5,0.02786887010550249
Pb_6,0.03519894355076418
