,A,ideR,whiB4
R2,,0.16180970639917414,0.007342981885257505
xmin,,-2.0394333873,-2.8338575925000002
xmid,,,0.792262339954171
xmax,,2.0630339949,2.9839660519
ystart,,-7.363316875214008,0.2889737273025186
yend,,7.2701827098316985,-6.177580910539046
AX:AX_10_MIC:1,-3.1270955645,0.0637481172,0.23128037340000002
AX:AX_10_MIC:2,-3.7993038661,0.0330115514,0.3081656839
AX:AX_30_MIC:1,-3.919322166,-0.0437610084,0.1287653623
AX:AX_30_MIC:2,-4.6739135407,0.3481500866,0.3142531538
AX:QZ_10_MIC:1,-3.6544482875,-6.390560000000001e-05,0.2309327669
AX:QZ_10_MIC:2,-4.2932905948,0.286538941,0.2738506978
AX:QZ_30_MIC:1,-4.8268079529,0.6457738596,0.0797832341
AX:QZ_30_MIC:2,-3.7400269947,-0.0461938535,0.10801114090000001
AX:wt:1,3.6558644039,-0.0141025896,0.1309597076
AX:wt:2,-3.6558644039,0.0141025896,-0.1309597076
ITM_04:00h_clinic_ctrl:1,-1.2131922837,-0.0025454735,-0.0549835069
ITM_04:00h_clinic_ctrl:2,-1.1091715104,0.0626908404,-0.17211430590000001
ITM_04:00h_h37rv_control:1,-0.1473832634,-0.094294551,-0.0978090488
ITM_04:00h_h37rv_control:2,0.2538910025,0.0703015242,-0.0269096698
ITM_04:00h_h37rv_control:3,-0.1065077391,0.0239930268,0.1247187186
ITM_04:06h_clinic_delam:1,-7.3838892529,1.3185581778,-0.7631591471
ITM_04:06h_clinic_delam:2,-7.1655642398,1.3696340105,-0.8938424622000001
ITM_04:06h_clinic_delam:3,-6.8453818853,1.3297020844,-0.6334991198000001
ITM_04:06h_clinic_DMSO:1,-9.4451848908,-0.2051293139,-0.438156111
ITM_04:06h_clinic_DMSO:2,-9.2922192921,-0.287156866,-0.278265505
ITM_04:06h_clinic_DMSO:3,-9.1990614883,-0.26877391900000003,-0.4577993011
ITM_04:06h_h37rv_delam:1,-7.0528225542,1.1313454481,-0.24567028130000002
ITM_04:06h_h37rv_delam:2,-7.1599544526,1.2127174637,-0.38611053160000003
ITM_04:06h_h37rv_delam:3,-7.3104656114,1.2257631985,-0.3013259803
ITM_04:06h_h37rv_DMSO:1,-6.6001926465,-0.2338665812,-0.6180494082
ITM_04:06h_h37rv_DMSO:2,-5.9719542204,-0.0978841319,-0.33819380330000004
ITM_04:06h_h37rv_DMSO:3,-5.5003640314,-0.1435628594,-0.1647550437
ITM_04:24h_clinic_delam:1,-9.5120750805,0.9402421205,-0.3908796975
ITM_04:24h_clinic_delam:2,-8.6356427775,0.8217214835000001,-0.28630188300000003
ITM_04:24h_clinic_delam:3,-9.2135932282,0.8899694164,-0.6136113873
ITM_04:24h_clinic_DMSO:1,-12.523544472,-0.3839925884,-0.0752368971
ITM_04:24h_clinic_DMSO:2,-13.0011387642,-0.4870785553,-0.28406142830000003
ITM_04:24h_clinic_DMSO:3,-12.5703700649,-0.4093503134,-0.14462835470000002
ITM_04:24h_h37rv_delam:1,-10.6583974237,0.9114632770000001,-0.1907200533
ITM_04:24h_h37rv_delam:2,-9.575175850699999,1.0491825273,-0.1783513531
