,deoB
Cr_1,0.0017591463691028182
Cr_2,0.0005420477475251627
Cr_3,-0.0022648021884280767
Cr_4,0.012378913972646729
Cr_5,0.027828221130346387
Cr_6,0.03868379548485088
Fe_1,-0.04730765668373522
Fe_2,-0.09496876509686084
Fe_3,-0.09823361149625877
Fe_4,-0.09766665603312873
Fe_5,-0.10955244154373832
Fe_6,-0.13061012321929746
Cd_1,-0.002490292962300384
Cd_2,-0.0073029967679936626
Cd_3,-0.015677530340270182
Cd_4,-0.01939156503282673
Cd_5,-0.02336282083240776
Cd_6,-0.02548104703481545
Zn_1,-0.014775938454464753
Zn_2,-0.013075970027767652
Zn_3,-0.016163436957883182
Zn_4,-0.00949598825868671
Zn_5,-0.003291486014063229
Zn_6,0.027767009099366257
Cu_1,0.012747059382819068
Cu_2,0.025666728572324937
Cu_3,0.03825872696398477
Cu_4,0.04664449820347855
Cu_5,0.05639454147724561
Cu_6,0.06467023316594248
Pb_1,-0.005689619798737099
Pb_2,-0.003061787848893323
Pb_3,0.0010171810422793311
Pb_4,0.007244564236303109
Pb_5,0.01300261088617638
Pb_6,0.02619918315224963
