,sseA
Cr_1,0.0013178104017262193
Cr_2,0.0036712027841541376
Cr_3,0.007725574671016361
Cr_4,0.01207262167877633
Cr_5,0.01130319047168574
Cr_6,0.008611966866751312
Fe_1,-0.01126082517699361
Fe_2,-0.02939705292712955
Fe_3,-0.04759713753727738
Fe_4,-0.06227599442085863
Fe_5,-0.07109200405002802
Fe_6,-0.07864619722874873
Cd_1,-0.00035094215401607515
Cd_2,-0.0014094099229833268
Cd_3,0.0001817965726655324
Cd_4,0.0017932203687300585
Cd_5,0.0010695556254334136
Cd_6,0.0034020152162676977
Zn_1,0.0007233848020227793
Zn_2,0.005926454702815243
Zn_3,0.022323881498063386
Zn_4,0.053751101380554334
Zn_5,0.08053463685600272
Zn_6,0.10372747984332872
Cu_1,-1.7418997926645878e-05
Cu_2,0.001950265067079755
Cu_3,0.008997031241350635
Cu_4,0.006489815103589886
Cu_5,0.00503399839911802
Cu_6,0.0027358838150847945
Pb_1,-0.003659837362818006
Pb_2,-0.0010572040738185745
Pb_3,0.006733062467670887
Pb_4,0.018850292857684463
Pb_5,0.02717231488197517
Pb_6,0.03767229092908465
