,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X
0,algU_regulon__empty_vector,0.0,0.21497612678526842,3.0,0.0,-0.0163366908,2.0,0.2226784139,4.0,-0.2063417231,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,-1.0194220041333333,0.11393957146330784,3.0,1.0,-1.1091876948,3.0,-0.8912395998,5.0,-1.0578387178,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,-0.372075987325,0.459821822706722,4.0,6.0,-0.10034949230000001,20.0,-0.1724817918,40.0,-1.0602645628,63.0,-0.1552081024,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,-0.028834455275000004,0.18045728688162418,4.0,7.0,-0.0023301608000000002,33.0,-0.1678438164,81.0,0.2162827413,82.0,-0.1614465852,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,-2.3746514892749997,0.12964765044665344,4.0,8.0,-2.2931233352,51.0,-2.2762230486,65.0,-2.5592298764,76.0,-2.3700296969,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,-1.9883017743333333,0.2975120888516461,3.0,9.0,-2.2753386603,22.0,-2.0082483508,49.0,-1.6813183119000001,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,-0.030930356449999998,0.08901437905089837,2.0,10.0,0.0320123146,26.0,-0.0938730275,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,-1.2474135501,0.18724461707161236,3.0,11.0,-1.4556600617,54.0,-1.1936449309000001,83.0,-1.0929356577,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,-2.37130037815,0.27654161437629804,4.0,12.0,-2.3910485263,48.0,-1.9773909938,64.0,-2.5143759643,78.0,-2.6023860281999998,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,-0.026645618274999994,0.11738139408202164,4.0,13.0,0.1091964326,38.0,-0.0698927612,67.0,-0.1643894729,72.0,0.0185033284,,,,,,,,,,,,,,,,,,,,
