,yniC
Cr_1,-0.002518716522508811
Cr_2,0.0016905264655763786
Cr_3,0.003730140737810907
Cr_4,0.007626487855706786
Cr_5,0.010089268951692331
Cr_6,0.011999813988951172
Fe_1,-0.008638999812459103
Fe_2,-0.012209617995487069
Fe_3,-0.004834123047004211
Fe_4,0.0016275190811284295
Fe_5,0.017612382906306238
Fe_6,0.03615503411899928
Cd_1,0.005999282571481998
Cd_2,0.0121082496899862
Cd_3,0.019488041440575823
Cd_4,0.02625704011488069
Cd_5,0.030329866148624457
Cd_6,0.04368075894993132
Zn_1,-0.016719242150116942
Zn_2,-0.01975708194273473
Zn_3,-0.01015117047921737
Zn_4,0.006751209030832594
Zn_5,0.020186836709748208
Zn_6,0.033905118256517555
Cu_1,0.0035722268570528327
Cu_2,0.0036091707049621343
Cu_3,0.00814696297374943
Cu_4,0.014644394665027632
Cu_5,0.01939829191690328
Cu_6,0.026228492034363685
Pb_1,-3.9608154675767824e-05
Pb_2,0.0016791365623779024
Pb_3,0.008271936337939573
Pb_4,0.013134376633604505
Pb_5,0.02083382405517891
Pb_6,0.030913450101481256
