,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,1.3320720550452667,3.0,0.0,0.5578942162,1.0,0.9624156481,2.0,-1.5203098643000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,7.0405959733,1.4330718793530484,3.0,3.0,7.9902222897,4.0,7.7393893956,5.0,5.3921762346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,9.965447617199999,0.2856600184520121,3.0,6.0,10.0438325842,7.0,9.6487781187,8.0,10.2037321487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,4.762497274852996e-12,10.341510399096808,21.0,9.0,8.3035940631,10.0,4.4655108401,11.0,6.0534705546,12.0,6.4768427163,13.0,4.7698044687,14.0,4.6614921671000005,15.0,-15.6041420923,16.0,-16.4754846306,17.0,-16.385648202,18.0,6.1017290084,19.0,5.6368149748,20.0,2.2823802802,21.0,5.5201219308,22.0,6.7443512939,23.0,5.8240368472,24.0,8.0589397977,25.0,10.2474650702,26.0,8.952747879,27.0,-12.0462428455,28.0,-16.5026584863,29.0,-17.0851256353
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,4.657738308433333,11.719693449783707,21.0,30.0,10.6592808374,31.0,9.3578684507,32.0,9.844781276199999,33.0,11.9651416161,34.0,6.8021039182,35.0,10.760247381,36.0,-10.206975125,37.0,-14.6412153747,38.0,-12.4617498429,39.0,10.5697817822,40.0,10.3084845418,41.0,9.9928227412,42.0,11.239978896,43.0,11.3190609171,44.0,12.4358986862,45.0,13.8159024845,46.0,20.6638364123,47.0,15.5008065955,48.0,-11.7839449309,49.0,-14.4780922549,50.0,-13.8515145309
5,WT_vs_Del_ccpA__THY_None_WT_exponential,9.25185853854297e-18,0.7474030031703899,3.0,51.0,-0.5933613717,52.0,0.8394080217000001,53.0,-0.24604665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-2.4438240133,2.430684710089822,4.0,54.0,1.1801190037,55.0,-3.6737820729,56.0,-3.3142107108,57.0,-3.9674222732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-2.5000002068509275e-11,0.27891140963897787,4.0,58.0,-0.3478485508,59.0,0.3025909448,60.0,0.122104186,61.0,-0.0768465801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-4.463501527675,2.0178143336308043,4.0,62.0,-4.6151042877,63.0,-6.4951358939,64.0,-5.0572524026,65.0,-1.6865135265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-3.888787336025,0.9234379496521848,4.0,66.0,-2.5359107683,67.0,-4.4843194897,68.0,-4.0595002847,69.0,-4.4754188014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
