,ycbC
Cr_1,0.003723005324827442
Cr_2,0.008915819920734373
Cr_3,0.013654454504986849
Cr_4,0.01818211937978896
Cr_5,0.022420531384627587
Cr_6,0.025187378605996437
Fe_1,0.001200738268693057
Fe_2,-0.0007682406422179371
Fe_3,0.0060519230412681094
Fe_4,0.00518959188385244
Fe_5,0.01914133748729293
Fe_6,0.033488754655974194
Cd_1,0.0027640364952534837
Cd_2,0.00809941554323703
Cd_3,0.017400382230585248
Cd_4,0.03450357821730215
Cd_5,0.04601490563933101
Cd_6,0.06181677942933805
Zn_1,-0.014067401054472694
Zn_2,-0.011364712383388249
Zn_3,0.005716045842833242
Zn_4,0.012105932227339286
Zn_5,0.017603244309470304
Zn_6,0.023838880666146155
Cu_1,0.005151887197356157
Cu_2,0.008484975079499274
Cu_3,0.013929560841424365
Cu_4,0.020438553228017967
Cu_5,0.020219128351948668
Cu_6,0.029156290602629337
Pb_1,0.002249531694221481
Pb_2,0.000465544946675685
Pb_3,0.003474414086542902
Pb_4,0.004599116927903921
Pb_5,0.0011799167652903595
Pb_6,-0.00281225904769265
