,-0.10072847354720524,-0.0863386916118902,-0.07194890967657516,-0.057559127741260124,-0.043169345805945086,-0.02877956387063005,-0.01438978193531501,2.7755575615628914e-17,0.014389781935315066,0.028779563870630104,0.04316934580594514,0.05755912774126018,0.07194890967657522,0.08633869161189026,0.1007284735472053,0.11511825548252033,0.12950803741783537,0.1438978193531504,0.15828760128846545,0.17267738322378048
thresh,-0.10792336451486276,0.10792336451486276,2,,,,,,,,,,,,,,,,,
unreg,0,0,2,7,34,145,930,2396,812,132,24,10,4,0,0,1,0,1,1,0
TPP,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1,3,2,4,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['metE'],[],['PN96_RS19265'],['metE2'],[]
TPP_genes,[],[],[],[],[],[],[],[],['thiQ'],['thiP'],['thiB'],[],[],['thiD' 'thiX' 'thiZ'],['thiE2'],['tenA' 'thiM' 'thiY'],['thiC' 'thiH'],['thiE' 'thiG' 'thiF' 'thiS'],[],[]
