,A,HrcA
R2,,0.8699935622329835
xmin,,-2.3129826145
xmid,,
xmax,,4.3600783781
ystart,,-6.171445149897785
yend,,11.698770691466724
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.1442801213,0.2813647347
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.5969834588,-0.5224770128
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,0.7412635801,0.24111227810000002
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,4.1216662438,2.1064906595
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,3.9455376744,2.0325988275
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,1.1874023785,1.4713169914
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,4.2269825849,1.2516076579
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,3.3794160119,1.1823349235
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,3.6492204279,1.5255936179
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,1.6558964293,0.23802796510000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,-0.1988303874,-0.2627649473
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-1.2668715427000001,-0.42023969110000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,-0.0872056096,-0.023927375400000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,0.2442561422,-0.024784447100000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-0.9038426570000001,-0.45807002620000004
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,0.0161032399,0.12953788230000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,1.5498598527,0.0017835283
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,2.1156090901,0.46596895520000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,-2.1206040553,0.0551464766
