,yjgJ
Cr_1,0.004003863602522142
Cr_2,0.007174462323597536
Cr_3,0.016045244986865482
Cr_4,0.017970433670608764
Cr_5,0.02679691390825529
Cr_6,0.027622315304022114
Fe_1,-0.03933810449675605
Fe_2,-0.06620896813058208
Fe_3,-0.07772843676082263
Fe_4,-0.0881941545769728
Fe_5,-0.1009021897882264
Fe_6,-0.11201268635236156
Cd_1,-0.0050863299614963605
Cd_2,-0.007587865551304819
Cd_3,-0.011020330850146169
Cd_4,-0.01890956240301256
Cd_5,-0.026691253269264237
Cd_6,-0.03645556009220845
Zn_1,-0.008256528501778194
Zn_2,-0.02028011464765539
Zn_3,-0.023570174846851446
Zn_4,-0.02563633800751771
Zn_5,-0.03765265402598125
Zn_6,-0.05393283961730837
Cu_1,0.0011003098149625367
Cu_2,0.0015074291458205215
Cu_3,0.00440151281586326
Cu_4,0.002596129571670368
Cu_5,0.0040351053410292775
Cu_6,0.0061425896195148
Pb_1,0.004980949381221073
Pb_2,0.008357518311765752
Pb_3,0.010120186236867905
Pb_4,0.013118895712655341
Pb_5,0.010134220372375543
Pb_6,0.014895747111943134
