,gntR
Cr_1,-0.0023977396789091328
Cr_2,0.0009380602604414614
Cr_3,-0.0007850657294170562
Cr_4,0.004837977284067917
Cr_5,0.010454247997587304
Cr_6,0.0048756383511502355
Fe_1,-0.006915039800866694
Fe_2,-0.009052946733667563
Fe_3,-0.002839083176155274
Fe_4,-0.003578926247213163
Fe_5,-0.008543210044446303
Fe_6,-0.015688909642615684
Cd_1,-0.0012872247837715975
Cd_2,0.0017213862420777375
Cd_3,-0.003531245380209219
Cd_4,-0.007958869715907231
Cd_5,-0.01345205189545738
Cd_6,-0.012343411650714457
Zn_1,0.0064160790037871155
Zn_2,0.03483539570330842
Zn_3,0.06865764793126848
Zn_4,0.10326040552272868
Zn_5,0.1398052218318634
Zn_6,0.1850804759351017
Cu_1,0.0008779638783869692
Cu_2,0.01077353699263764
Cu_3,0.024089462734861584
Cu_4,0.032417513285503685
Cu_5,0.04482308977024666
Cu_6,0.05712113755289495
Pb_1,-0.0009887798685763497
Pb_2,0.0057972377058019865
Pb_3,0.012228048961255695
Pb_4,0.024159729461951898
Pb_5,0.04076200787180049
Pb_6,0.056509785543125975
