,plsB
Cr_1,-0.0034196376196459397
Cr_2,-0.0006819019295827935
Cr_3,0.008386031920424678
Cr_4,0.01854946900952738
Cr_5,0.025670107823177774
Cr_6,0.029161361741385675
Fe_1,0.003793212808863365
Fe_2,0.04326407601305665
Fe_3,0.08831591672567195
Fe_4,0.12137280271044586
Fe_5,0.14017187386644
Fe_6,0.1526368076292748
Cd_1,0.003622252479723496
Cd_2,0.012649897204239872
Cd_3,0.019140547628715917
Cd_4,0.02444850609966532
Cd_5,0.02456084360634012
Cd_6,0.02687691647376353
Zn_1,0.06804506360458873
Zn_2,0.14747375963288534
Zn_3,0.2037706402262748
Zn_4,0.2053066044877212
Zn_5,0.1541122582957741
Zn_6,0.08329940599230871
Cu_1,-0.0019076157829370005
Cu_2,0.0022763422279443645
Cu_3,0.013098652409684792
Cu_4,0.02323390777296789
Cu_5,0.02785752724468493
Cu_6,0.03486954600419508
Pb_1,0.00625266550541962
Pb_2,0.019279082271551024
Pb_3,0.04438616734529213
Pb_4,0.07822027483648915
Pb_5,0.09677003973300516
Pb_6,0.11468429480969655
