gene_id,USA300HOU_RS03185
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,Function unknown
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN002445000"">AureoWiki</a>"
