sample,new_2701783_2703117
LBexp_1,7.4631
LBexp_2,7.3242
LBexp_3,7.4103
LBtran_1,7.3064
LBtran_2,7.1108
LBtran_3,7.3247
LBstat_1,7.5012
LBstat_2,7.6031
LBstat_3,7.5614
LBGexp_1,7.2382
LBGexp_2,7.1328
LBGexp_3,7.2176
LBGtran_2,7.5175
LBGtran_3,7.4583
LBGstat_1,7.2198
LBGstat_2,7.2064
LBGstat_3,7.694
S0_1,6.7098
S0_2,6.9483
S0_3,7.22
S1_1,7.8694
S1_2,7.8915
S1_3,7.7403
S2_1,8.0558
S2_2,7.2778
S2_3,7.1742
S3_1,8.3805
S3_2,8.0063
S4_1,10.3773
S4_2,10.4304
S4_3,10.0104
S5_1,11.5495
S5_2,11.4031
S5_3,11.5996
S6_1,12.1991
S6_2,11.3174
S6_3,12.0434
S6/t_1,11.9034
S6/t_2,10.2935
S6_4,11.0461
S6_5,11.5025
S6_6,11.4976
S7_4,10.9979
S7_5,10.8889
S7_6,10.9284
S8_4,10.8001
S8_5,11.5364
G135_1,7.7012
G135_3,7.5848
G150_1,7.433
G150_2,7.295
G150_3,7.693
G180_1,7.4452
G180_2,7.1908
G180_3,7.38
C30_1,9.1057
C30_2,9.1543
C90_1,8.5485
C90_2,7.0882
BI_1,6.997000000000001
BI_2,6.9529999999999985
BC_2,7.2425
BC/t_1,7.8222
BC/t_2,9.1322
BC_1,7.2213
Sw_1,6.7970000000000015
Sw_2,6.6024
BT_1,9.4702
BT_2,9.1819
B36_1,9.6069
B36_2,9.4266
B60_1,8.3964
B60_2,8.7125
M9exp_1,7.4406
M9exp_2,7.4837
M9exp_3,7.269
M9tran_1,7.5357
M9tran_2,7.532
M9tran_3,7.4626
M9stat_1,7.9519
M9stat_2,7.967
M9stat_3,7.6036
M+G_1,8.9651
M+G_2,7.7351
M+G_3,7.6769
Glu_1,8.0931
Glu_2,7.857
Glu_3,7.7768
Fru_1,7.7913
Fru_2,8.243
Fru_3,7.6983
Mal_1,7.101
Mal_2,8.1401
Mal_3,7.4773
G+S_2,8.6792
G+S_3,9.416
Pyr_1,8.8387
Pyr_2,9.4306
Pyr_3,9.3277
Gly_1,7.7789
Gly_2,7.8126
Gly_3,8.0667
Glucon_1,8.6173
Glucon_2,8.2501
Glucon_3,8.2335
aero_1,8.0005
aero_2,7.2944
aero_3,7.3849
nit_1,9.5216
nit_2,8.2472
nit_3,8.914
ferm_1,9.3248
ferm_2,7.7744
ferm_3,8.8951
T-5.40H_1,7.4156
T-4.40H_1,7.5815
T-3.40H_1,7.5256
T-2.40H_1,7.3246
T-1.40H_1,7.3018
T-1.10H_1,7.1212
T-0.40H_1,7.0162
T0.0H_1,6.9382
T0.30H_1,7.5695
T1.0H_1,7.3414
T1.30H_1,7.8174
T2.0H_1,8.04
T2.30H_1,7.7192
T3.0H_1,7.5785
T3.30H_1,7.9425
T4.0H_1,7.6682
T5.0H_1,7.8026
HPh_1,7.7792
HPh_2,7.2699
HPh_3,7.7025
LPh_1,7.5238
LPh_2,7.445
LPh_3,7.775
LPhT_1,7.8048
LPhT_2,7.5539
LPhT_3,7.7906
SMMPr_1,7.8274
SMMPr_2,7.8403
SMMPr_3,7.7895
HiTm_1,7.3383
HiTm_2,7.1225
HiTm_3,7.4116
LoTm_1,7.721
LoTm_2,7.5691
LoTm_3,7.6183
HiOs_1,7.3556
HiOs_2,7.7947
HiOs_3,7.519
BMM_1,7.3628
BMM_2,7.4473
BMM_3,7.951
Heat_1,8.7447
Heat_2,8.3173
Heat_3,8.7307
Cold_1,7.1199
Cold_2,7.3367
