,yafC
Cr_1,0.00035822769068361124
Cr_2,0.0033340925004405387
Cr_3,0.006402191148451203
Cr_4,0.007648594800984102
Cr_5,0.010021683051148351
Cr_6,0.01190702855031691
Fe_1,-0.005938741047568787
Fe_2,-0.013251932343106662
Fe_3,-0.0261357340698707
Fe_4,-0.044828860375161934
Fe_5,-0.05503337202524543
Fe_6,-0.06084115954090076
Cd_1,0.003279592726873538
Cd_2,0.00837962364431685
Cd_3,0.012985180739681856
Cd_4,0.016784353882009828
Cd_5,0.016547916846602832
Cd_6,0.02350174459520936
Zn_1,0.0026589800465451506
Zn_2,0.006024907505557349
Zn_3,0.01361402999396801
Zn_4,0.02042069484966959
Zn_5,0.026019443023473803
Zn_6,0.030539585154055356
Cu_1,0.0007625207686843996
Cu_2,-0.0014090114559461304
Cu_3,-0.0030435595793089853
Cu_4,-0.003937162118531435
Cu_5,-0.003139705514069569
Cu_6,0.0003810332497804282
Pb_1,0.00533113933060914
Pb_2,0.009586878526286577
Pb_3,0.014301922319888506
Pb_4,0.01947496113587337
Pb_5,0.02704904169079351
Pb_6,0.03423460898559357
