,dppA
Cr_1,0.003855499501890323
Cr_2,0.006984740272830245
Cr_3,0.010522678921691557
Cr_4,0.013535395449847895
Cr_5,0.01920077468198715
Cr_6,0.02479320129009748
Fe_1,-0.009559940320085815
Fe_2,-0.02013473681752984
Fe_3,-0.017367762498514832
Fe_4,-0.011434227236846171
Fe_5,-0.003910226285944042
Fe_6,-0.0005725578480980553
Cd_1,0.0004150068386852656
Cd_2,0.003292958246414701
Cd_3,0.00790602598625077
Cd_4,0.013893172648029549
Cd_5,0.0136074948287179
Cd_6,0.01783277346833502
Zn_1,0.0007826690297593532
Zn_2,0.0065896375923997965
Zn_3,0.017394516288279864
Zn_4,0.0277740878055755
Zn_5,0.029052001154582244
Zn_6,0.0267611819011779
Cu_1,0.007793803478867326
Cu_2,0.014657729565032803
Cu_3,0.02914396355276885
Cu_4,0.043240186661935305
Cu_5,0.05595267817924664
Cu_6,0.07145741319972393
Pb_1,0.006782784924193297
Pb_2,0.016829145689238115
Pb_3,0.02772248400861768
Pb_4,0.03734326313783492
Pb_5,0.04740434251211451
Pb_6,0.060155653770152785
