,murC
Cr_1,0.006594549690692369
Cr_2,0.018340431717950956
Cr_3,0.03297335235455801
Cr_4,0.037660530842083484
Cr_5,0.04731828932193758
Cr_6,0.058280204083500674
Fe_1,-0.007739361966054154
Fe_2,-0.026014888772912283
Fe_3,-0.045897926839225764
Fe_4,-0.0691688557843898
Fe_5,-0.08762354571932318
Fe_6,-0.10027770624768707
Cd_1,0.008135940206016466
Cd_2,0.012255187885437757
Cd_3,0.020990604941055098
Cd_4,0.028378853141048925
Cd_5,0.02595287831454817
Cd_6,0.02521345612603692
Zn_1,-0.005073158440727013
Zn_2,-0.005010751287800972
Zn_3,-0.0009985670971351527
Zn_4,0.0055131094426178655
Zn_5,0.015440220172533626
Zn_6,0.027304001229612917
Cu_1,-0.0009124701602755275
Cu_2,-0.0052195864392946606
Cu_3,-0.003188173759085476
Cu_4,0.0011684535622672998
Cu_5,0.011242564848571921
Cu_6,0.018275592487948838
Pb_1,0.0011621145458443115
Pb_2,0.00306956197673581
Pb_3,0.008728691449387828
Pb_4,0.013566579471718037
Pb_5,0.010820365662618837
Pb_6,0.01607310335587944
