,yfjL
Cr_1,-0.002625029461211361
Cr_2,0.00602527730307001
Cr_3,0.013229774250592873
Cr_4,0.017154948930647174
Cr_5,0.02431957261381296
Cr_6,0.031791657128723776
Fe_1,-0.003110536941442061
Fe_2,-0.011526022477460865
Fe_3,-0.02241179068328224
Fe_4,-0.043618497220471904
Fe_5,-0.06909935572286534
Fe_6,-0.09585161500956853
Cd_1,0.003561270772193036
Cd_2,0.00810195184751085
Cd_3,0.013876331687448114
Cd_4,0.019774407190819653
Cd_5,0.02238558774997584
Cd_6,0.029825880324851718
Zn_1,0.0011674305616972056
Zn_2,0.0035794270888515048
Zn_3,0.012692085909898352
Zn_4,0.026203718063969476
Zn_5,0.03670544322109962
Zn_6,0.04414247862552482
Cu_1,-0.00033617206153724804
Cu_2,0.0030523637419442987
Cu_3,0.02110144614979909
Cu_4,0.048907420989414335
Cu_5,0.08658721469880394
Cu_6,0.11830044769795565
Pb_1,-0.00030091408846413364
Pb_2,0.00023934500597327216
Pb_3,-0.007889168426481574
Pb_4,-0.012829776779735095
Pb_5,-0.012744365836711824
Pb_6,-0.011107671450762134
