,rcsF
Cr_1,-0.007338657913715294
Cr_2,-0.014338775359299331
Cr_3,-0.020708577793166916
Cr_4,-0.02890623014537105
Cr_5,-0.03900303038863525
Cr_6,-0.0500247789792874
Fe_1,-0.006412939067846641
Fe_2,-0.01526252998200275
Fe_3,-0.02774199321024217
Fe_4,-0.04385255504341354
Fe_5,-0.056506478131715075
Fe_6,-0.061976455043392324
Cd_1,-0.0009606168471449095
Cd_2,-0.0009783050030557161
Cd_3,-0.0006148671070327772
Cd_4,-0.0007887290524340557
Cd_5,-0.005743915642741525
Cd_6,-0.00459450707544626
Zn_1,-0.0011506802149568898
Zn_2,-0.00777064939592288
Zn_3,-0.007122679060790013
Zn_4,-0.001993236927080476
Zn_5,-0.0005202418753975492
Zn_6,-0.006259057506118225
Cu_1,0.0036256385584769782
Cu_2,0.003411436073020995
Cu_3,0.0031146913636490533
Cu_4,0.0088816594242067
Cu_5,0.010129155879311257
Cu_6,0.0168204384720805
Pb_1,-0.0020684149267495506
Pb_2,-0.0007506936527134052
Pb_3,0.0008951767764134421
Pb_4,0.00408621412777221
Pb_5,0.008575342607311267
Pb_6,0.01449640107746214
