,sdhC
Cr_1,0.002326291277311385
Cr_2,-0.003031151214951371
Cr_3,-0.009013349987344358
Cr_4,-0.014460691972496659
Cr_5,-0.017940673633318527
Cr_6,-0.02169629074434345
Fe_1,0.0054253302777981975
Fe_2,0.0073905728737676
Fe_3,0.002393909007384127
Fe_4,-0.008195036007222222
Fe_5,-0.014195595489368659
Fe_6,-0.011798163045124509
Cd_1,-0.0009933725060724198
Cd_2,-0.000773406042336017
Cd_3,-0.0001357817380580248
Cd_4,0.0004804632737103768
Cd_5,-0.00515935636853947
Cd_6,-0.006557239130783747
Zn_1,0.007457894617489067
Zn_2,0.00928374214294681
Zn_3,0.003390684030433232
Zn_4,-0.0038328509488247133
Zn_5,-0.007893437227048222
Zn_6,-0.008769065054263834
Cu_1,0.0033206077711640538
Cu_2,0.009567037157324938
Cu_3,0.016978446016983843
Cu_4,0.024379433797939085
Cu_5,0.030004247959203187
Cu_6,0.03418861224224234
Pb_1,0.01331003567801915
Pb_2,0.02827092019404256
Pb_3,0.044493660511779685
Pb_4,0.0647615777724636
Pb_5,0.08779705993748041
Pb_6,0.10924067100818284
