,0
gene_id,SACI_RS03250
name,rps10
operon,Op366
gene_product,30S ribosomal protein S10
cog,"Translation, ribosomal structure and biogenesis"
regulator,<i>Not Available</i>
link,"<a href=""https://www.uniprot.org/uniprot/A0A0U3FVC0"">Uniprot</a>"
