,A,PurR
R2,,0.7993029156442735
xmin,,-8.216346238
xmid,,-3.3909003865537306
xmax,,0.333963646
ystart,,-20.229977401498516
yend,,3.3842864018930303
ecoli_00001,-0.043709649600000004,-0.0016611450000000002
ecoli_00002,0.043709649600000004,0.0016611450000000002
ecoli_00003,-4.2501041794,-0.615103976
ecoli_00004,-5.8384343338,-0.8196669910000001
ecoli_00005,0.8354848111000001,-0.404682286
ecoli_00006,0.6581725722,-0.49290924100000005
ecoli_00007,-4.7756643444,-0.57490226
ecoli_00008,-4.6853269753,-0.564463424
ecoli_00009,-0.3192923133,-0.423193407
ecoli_00010,-0.1444656667,-0.498130047
ecoli_00011,-0.0525760121,-0.371540931
ecoli_00012,-0.2932830088,-0.474445172
ecoli_00014,-0.1534133559,-0.5677022890000001
ecoli_00015,-0.2699151256,-0.572783904
ecoli_00016,-0.21034965560000002,-0.66323802
ecoli_00017,-0.2693406701,-0.436767136
ecoli_00018,-0.1551300461,-0.48018471
ecoli_00019,-8.3513045194,-1.4069466990000001
ecoli_00020,-8.2808236607,-1.392063262
ecoli_00021,-7.0317732849,-1.069125009
ecoli_00022,-7.1568616421,-0.994460344
ecoli_00023,-6.2973605103,-1.147643362
ecoli_00024,-6.5592464619,-1.055476385
ecoli_00025,-12.4388314233,-1.815653138
ecoli_00026,-12.2639970045,-1.846693819
ecoli_00027,-4.4208589091,-0.40493591300000004
ecoli_00028,-4.4612577858,-0.37060674800000004
ecoli_00029,-4.467491621,-0.312113808
ecoli_00030,-4.7081450011,-0.35052336900000003
ecoli_00031,-3.4936539419,-0.47223430800000005
ecoli_00032,-2.9534417151000003,-0.5097624350000001
ecoli_00033,-3.8126431878,-0.6205402560000001
ecoli_00034,-2.2700126354,-0.33607711300000004
ecoli_00035,-3.1213663656,-0.18498640400000002
ecoli_00036,-2.8451354597,-0.308570936
ecoli_00037,-1.6089434185,-0.453573867
ecoli_00038,-2.0413832613,-0.47847062100000004
ecoli_00039,0.5397999802,0.087660084
ecoli_00040,0.3878729161,0.05003221
ecoli_00041,-2.7337053576,-0.570067898
ecoli_00042,-0.8131303959,-0.362209549
ecoli_00043,0.510436815,-0.32507497700000004
ecoli_00044,0.31027125170000003,-0.31578716
ecoli_00045,1.2090857419,-0.335233131
ecoli_00046,1.0964804782,-0.294472522
ecoli_00047,0.0136535632,-0.27277316
ecoli_00048,-0.2517630698,-0.28731209
ecoli_00049,-0.7161588212000001,-0.459089625
ecoli_00050,1.4103811741,-0.44669562700000004
ecoli_00051,1.6114030824,-0.387970725
ecoli_00052,1.7144599138,-0.15745735600000002
ecoli_00053,1.4070952176,-0.184323964
ecoli_00054,-8.1200642166,-1.521671704
ecoli_00055,-8.3806185461,-1.675490574
ecoli_00056,-3.2170711442,-0.267786099
ecoli_00057,-3.1958080934,-0.229375027
ecoli_00058,-1.7629882214,0.086308676
ecoli_00059,-1.8814934542000001,0.026706452000000002
ecoli_00060,-1.6309163232000001,0.036547168000000005
ecoli_00061,-1.3587375586000001,-0.0039326560000000005
ecoli_00062,-0.0634221043,-0.006839706
ecoli_00063,0.2129832793,0.11090926
ecoli_00064,-7.3646804857,-1.654787843
ecoli_00065,-6.9773731171,-1.530012049
ecoli_00066,-4.9158950135,-1.675181886
ecoli_00067,-4.3236536333,-1.792368831
ecoli_00068,-19.5170148006,-1.933301889
ecoli_00070,-0.8444795996000001,-0.650752073
ecoli_00071,-1.0098105519,-0.640959713
ecoli_00072,-0.5138130639,-0.688841339
ecoli_00073,-1.7217329855,-0.5230801380000001
ecoli_00074,-0.2992675412,-0.517023843
ecoli_00075,-13.9848593084,-2.373981189
ecoli_00077,-9.1580797911,-1.228716592
ecoli_00078,-6.6783273156,-0.9278700580000001
ecoli_00079,-9.7638764733,-1.613423638
ecoli_00080,-17.4781013486,-2.4077370350000002
ecoli_00081,-1.9300969524,-0.5488784870000001
ecoli_00082,-1.588221451,-0.43348664800000003
ecoli_00083,-1.1880891843999999,-0.440568556
ecoli_00084,0.5785812117,-0.44281783100000005
ecoli_00085,0.0332775809,-0.439524077
ecoli_00086,-1.037778379,-0.257450897
ecoli_00087,-0.9681729422,-0.263825633
ecoli_00088,-0.1567880112,-0.420545614
ecoli_00089,-0.034790614500000004,-0.48623990100000003
ecoli_00090,0.1269841209,-0.395018719
ecoli_00091,0.1238980367,-0.38518531500000003
ecoli_00092,-3.8143973538,-0.9070016240000001
ecoli_00093,0.2860567076,-0.52325372
ecoli_00094,-15.338100826,-2.3974470180000003
ecoli_00095,-15.2705257908,-2.296755117
ecoli_00096,-2.3295877964000002,-0.29490439300000004
ecoli_00097,-1.4119759233,-0.32617933400000004
ecoli_00098,-13.7994971,-1.361113446
ecoli_00099,-13.7748524239,-1.289287907
ecoli_00100,0.4310213828,-0.30834283300000004
ecoli_00101,3.8297727933,-0.332198104
ecoli_00102,3.5592846988,-0.323575765
ecoli_00103,-7.9528997532000005,-1.186140907
ecoli_00104,-8.3183727959,-1.038029166
ecoli_00105,1.0409599358,-0.37193197
ecoli_00106,0.3493572046,-0.209501251
ecoli_00107,0.2474146869,-0.20384422400000002
ecoli_00108,-11.5863121632,-2.400796807
ecoli_00109,-17.4852236338,-2.566078768
ecoli_00110,0.7045200943000001,-0.322634694
ecoli_00111,0.7259977728,-0.29081666100000003
ecoli_00112,0.4896379436,-0.16811394000000002
ecoli_00113,-5.5089457274,-0.7345627680000001
ecoli_00114,-4.8106690052,-0.638080296
ecoli_00115,-4.6468285765,-0.623546998
ecoli_00116,-0.6554881202,-0.48091665600000005
ecoli_00117,0.0298879269,-0.569929652
ecoli_00118,-0.3944576282,-0.647432929
ecoli_00119,0.8912236119,-0.362811241
ecoli_00120,0.8075039146,-0.357319229
ecoli_00121,0.6827587358,-0.432205877
ecoli_00122,0.4970782982,-0.5613519290000001
ecoli_00123,-0.22912766210000002,-0.613423115
ecoli_00124,-0.3976636235,-0.6460402350000001
ecoli_00125,-5.8346699896,-1.302641262
ecoli_00126,2.7248304375,-0.065744761
ecoli_00127,1.8409283472,-0.367659122
ecoli_00128,4.8879850235,-0.32668817
ecoli_00129,-11.2523494361,-1.565496309
ecoli_00130,-2.5365967706,-0.9525517670000001
