,-0.30926246315351197,-0.25771871929459333,-0.2061749754356747,-0.15463123157675607,-0.10308748771783743,-0.0515437438589188,-1.6653345369377348e-16,0.05154374385891847,0.1030874877178371,0.15463123157675573,0.20617497543567437,0.25771871929459306,0.30926246315351164,0.3608062070124302,0.4123499508713489,0.4638936947302676,0.5154374385891862,0.5669811824481048,0.6185249263070234,0.6700686701659422
thresh,-0.3350343350829713,0.3350343350829713,8,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,68,3436,68,0,0,0,0,0,0,0,0,0,0,0,0
YeiE,0,0,0,0,0,2,82,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,0,17,488,18,0,0,0,0,0,0,0,0,0,0,0,0
UvrY,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
oxyS,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
YeiE and Crp,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0
Crp and oxyS,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"UhpA, YeiE, Crp, UvrY, and oxyS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
YeiE_genes,[],[],[],[],[],['yiiF' 'uspF'],"['yjjJ' 'mdtL' 'yceA' 'cysJ' 'yeiH' 'infA' 'sfmH' 'torD' 'ymgF' 'yfdV'
 'yibQ' 'mrdA' 'yeiG' 'ybcQ' 'ydiJ' 'rutR' 'ssuA' 'lpxL' 'yihN' 'osmE'
 'cyuP' 'ybiB' 'ygeF' 'degS' 'aat' 'ydjE' 'ebgR' 'elfC' 'der' 'yfhM'
 'thiD' 'htpG' 'leuC' 'yfgJ' 'yicH' 'ydcT' 'ilvI' 'yeiE' 'ubiC' 'yraJ'
 'sbcB' 'yfjH' 'speF' 'yiiS' 'dcuC' 'yjaG' 'yodB' 'yiiM' 'clpA' 'rpmI'
 'argO' 'yabI' 'emtA' 'ybhI' 'chiA' 'potB' 'rpmJ' 'sodC' 'ftp' 'trkH'
 'nagK' 'ycfL' 'mdfA' 'yidZ' 'yfcC' 'hemH' 'fadK' 'pepA' 'msbA' 'dnaG'
 'atpH' 'putA' 'aroH' 'fdhF' 'potC' 'lysU' 'ybaB' 'trxB' 'yoaC' 'ybbW'
 'ybdO' 'dcuS']",[],[],[],[],[],[],[],[],[],[],[],[],[]
