,fhuC
Cr_1,0.0025564365390228693
Cr_2,0.006223481174982447
Cr_3,0.010725202143913922
Cr_4,0.017029924937109944
Cr_5,0.019495441345349702
Cr_6,0.023533303561631955
Fe_1,0.008320984243460328
Fe_2,0.047722773073168204
Fe_3,0.08188450296722982
Fe_4,0.14523089643500214
Fe_5,0.1816491174259861
Fe_6,0.22609513866
Cd_1,0.0008973403164173293
Cd_2,0.0021592891629293198
Cd_3,-9.636172883310974e-05
Cd_4,0.007173596949623624
Cd_5,0.002971677999787922
Cd_6,0.002271668506098355
Zn_1,0.050150690413923484
Zn_2,0.3635454360015646
Zn_3,0.6526523981555921
Zn_4,0.8313540590231556
Zn_5,0.9209371519038226
Zn_6,0.9667469879253648
Cu_1,0.0053796914162855215
Cu_2,0.01150111886845832
Cu_3,0.02329117407036821
Cu_4,0.01740497276621996
Cu_5,0.011311947791954446
Cu_6,0.015165005275047248
Pb_1,0.008117740455714274
Pb_2,0.06226996190579626
Pb_3,0.12769990585224375
Pb_4,0.19849576219083356
Pb_5,0.28015980014053843
Pb_6,0.3642876425346928
