,ycdO
Cr_1,0.007802408348350294
Cr_2,0.014547420607151884
Cr_3,0.017952879656311642
Cr_4,0.015266304217383894
Cr_5,0.009679098674973474
Cr_6,0.00888172975957243
Fe_1,-0.00415979139551725
Fe_2,-0.016896514893208696
Fe_3,-0.015402207895713924
Fe_4,-0.019077286525389862
Fe_5,-0.019440635226812004
Fe_6,-0.020757525591356917
Cd_1,-0.007721140729336372
Cd_2,-0.016574956242615027
Cd_3,-0.02405305340052981
Cd_4,-0.0289944385082252
Cd_5,-0.027263717659163474
Cd_6,-0.009467899302428634
Zn_1,-0.008025583548814422
Zn_2,-0.015101606550246562
Zn_3,-0.005476916036623294
Zn_4,0.017922956829762072
Zn_5,0.03581709109473915
Zn_6,0.041107524833616224
Cu_1,0.00248321267895603
Cu_2,0.006868454000763108
Cu_3,0.012421581972924086
Cu_4,0.014979353252716729
Cu_5,0.012188422894545916
Cu_6,0.016936240707175247
Pb_1,-0.011138346807378187
Pb_2,-0.0116773021434289
Pb_3,-0.00735546537835403
Pb_4,-0.006382999211459171
Pb_5,-0.01892354291906542
Pb_6,-0.016603567550005898
