,A,GadX,GadW
R2,,0.7562528485942456,0.6590884049332357
xmin,,0.0,0.0
xmid,,5.450852280178101,4.600984744896917
xmax,,10.7199149166,10.3716293834
ystart,,-8.933124916699953,-7.7469308952194424
yend,,7.662446440119336,9.800378671862969
control__wt_glc__1,0.0552405055,8.6145422615,7.068040429
control__wt_glc__2,-0.0552405055,8.4566289393,6.9661842997
fur__wt_dpd__1,3.2021087928,8.3913470043,7.0728829243
fur__wt_dpd__2,2.3376114902,8.1802043696,6.8412241786
fur__wt_fe__1,1.1021027483,8.1429902546,7.2118042714
fur__wt_fe__2,0.1550358937,8.1378359358,7.0838835181
fur__delfur_dpd__1,5.0384629989,8.8078332574,7.6086979875
fur__delfur_dpd__2,3.9831077127,8.974779899,7.5166054402
fur__delfur_fe2__1,-1.9629199922,8.2248848659,6.6151566196000005
fur__delfur_fe2__2,-1.6240530553,8.1512759992,6.6745135167
acid__wt_ph5__1,4.406067774,9.2353508389,8.2359070292
acid__wt_ph5__2,4.4106811548,9.1706601339,8.2717287804
acid__delgadx_ph5__1,-2.5458390581,0.0,10.3716293834
acid__delgadx_ph5__2,-2.1101779141,0.0,10.3455700972
acid__delgadw_ph5__1,1.8394773176,9.5604371873,1.1778973893
acid__delgadw_ph5__2,1.4601157852,9.528986511,0.0
acid__delgade_ph5__1,6.5140929232,9.1219019302,8.3691264414
acid__delgade_ph5__2,6.5348282371,9.0997019091,8.1774718725
oxidative__wt_pq__1,1.3168417707,7.4476889129,6.7665034137
oxidative__wt_pq__2,2.5200983796000003,7.3859367701,6.6482237594
oxidative__deloxyr_pq__1,1.4471504505000001,7.9607841146,6.8852472828
oxidative__deloxyr_pq__2,0.9885307910000001,7.9809215356,6.8408896214
oxidative__delsoxr_pq__1,2.066022886,7.3901517513,6.823374604
oxidative__delsoxr_pq__2,2.3098180393,7.4765007965,6.901079743
oxidative__delsoxs_pq__1,2.2465292612,7.8462687146,7.368644225
oxidative__delsoxs_pq__2,2.2154232899,7.7914084533,7.2332961508
nac_ntrc__wt_csn__1,3.6921685734,9.3863168364,6.8693542876
nac_ntrc__wt_csn__2,3.5414019872,9.3032160507,6.8276552763
nac_ntrc__wt_cytd__1,-2.8795358222000003,7.8445928781,7.7441145144
nac_ntrc__wt_cytd__2,-2.2491172086,7.9421920851,7.6813602742
nac_ntrc__wt_gln__1,5.4056731925,9.4091037728,8.3977692955
nac_ntrc__wt_gln__2,6.3267477564,9.3330076198,8.2413882564
nac_ntrc__bw_delnac_csn__1,2.9091846197,8.8668556058,6.3883539922
nac_ntrc__bw_delnac_csn__2,2.5143280394,7.8249396838,5.5129165331
nac_ntrc__bw_delnac_cytd__1,1.4119734074,8.4353851255,7.6260208659
nac_ntrc__bw_delnac_cytd__2,1.7206942137999999,8.382879784,7.641016614
nac_ntrc__bw_delnac_gln__1,8.6821377728,9.5786211994,8.6718458682
nac_ntrc__bw_delnac_gln__2,8.5012073697,9.7178633969,8.6150066328
nac_ntrc__bw_delnac_nh4__1,-0.4015420369,7.775597201,6.2951942122
nac_ntrc__bw_delnac_nh4__2,-1.7585252976999999,7.6468858685,6.4595934338
misc__wt_no_te__1,2.5961466757,8.8370230264,7.8344016471
misc__wt_no_te__2,0.7776306414,8.5713007924,7.528074088
misc__bw_delcbl__1,-2.7542658073,7.5202851189,6.3570298303
misc__bw_delcbl__2,-2.3223584524,7.7853828276,6.5124486234
misc__bw_delfabr__1,-4.7724377771,6.4892312571,5.4703211135
misc__bw_delfabr__2,-5.3588888256,6.3302786997,5.5498459222
misc__bw_delfadr__1,-2.4567384348,7.9824196213,6.7849631298
misc__bw_delfadr__2,-2.4271925596,7.924585132,6.866932752
misc__nitr_031__1,8.1773033017,9.4290050692,8.3551303487
omics__wt_glu__1,1.3087545747,8.8716660242,8.8266546214
omics__wt_glu__2,0.2833348986,8.5454498735,8.6147593932
omics__wt_gly__1,2.3333626373,8.6344203461,8.388467931
omics__wt_gly__2,2.7352521960000002,8.6316693584,8.4271760398
omics__wt_thr__1,6.3533511739,10.1160324133,9.0699227492
omics__wt_thr__2,7.2370587597,10.265612049,9.2341658444
omics__bw_ac__1,-1.8039071076000002,7.9080837794,6.7756794739
omics__bw_ac__2,-2.0508185286,8.1266251617,6.7221323461
omics__bw_fum__1,-7.601365846,6.6457449598,5.2783282695
omics__bw_fum__2,-7.4716422404,6.7819783401,4.7191029739
omics__bw_glc__1,-3.4275027977,8.077474017,6.6928397361
omics__bw_glc__2,-3.3252642095000002,7.9904456423,6.6261788388
omics__bw_pyr__1,-7.4809963489,7.5316926917,5.6302172785
omics__bw_pyr__2,-7.2123705565,7.5474584647,5.5985952519
ompr__wt_nacl__1,3.2859739096,10.4387425733,8.9660342302
ompr__wt_nacl__2,2.7767646292,10.5246204725,8.9083406444
ompr__bw_delompr_nacl__1,2.4285548364,10.7199149166,8.910843055
ompr__bw_delompr_nacl__2,2.9872626802,10.6766844758,8.8593892447
minspan__wt_ade__1,3.3707987398,9.1781051308,8.5385527886
minspan__wt_glc__1,0.09390456850000001,8.2857162353,7.6473162942
minspan__wt_glc__2,0.3159761403,8.4132998499,7.9623160763000005
minspan__wt_glc__3,1.010537095,8.377122998,7.826388777
minspan__wt_glc__4,0.4229537719,8.2873214588,7.7090876312
