,rrlE
Cr_1,-0.006032714503128256
Cr_2,-0.006827061790238266
Cr_3,-0.010535844895124023
Cr_4,-0.010084777101001294
Cr_5,-0.0117744939335303
Cr_6,-0.013228210781634091
Fe_1,-0.03812870080183023
Fe_2,-0.07044300296880211
Fe_3,-0.07942010984244469
Fe_4,-0.07468332124484199
Fe_5,-0.06338894693595802
Fe_6,-0.04533910058150542
Cd_1,-0.0011405720600459364
Cd_2,-0.0006077038763736693
Cd_3,-0.004712927068333189
Cd_4,-0.005363859773810886
Cd_5,-0.012824972969194694
Cd_6,-0.009953605050863552
Zn_1,0.0005010461267861658
Zn_2,0.01403683253025925
Zn_3,0.036362921429362025
Zn_4,0.057029375943799726
Zn_5,0.08226437670067932
Zn_6,0.1075149639383182
Cu_1,3.9672975197085054e-05
Cu_2,0.009626787952623115
Cu_3,0.02194417125507165
Cu_4,0.032588547029759746
Cu_5,0.035202559839795665
Cu_6,0.038594980737390934
Pb_1,0.02053848986354468
Pb_2,0.04300455051679256
Pb_3,0.07169702792854284
Pb_4,0.10562463082013766
Pb_5,0.1400894565957538
Pb_6,0.1738267357593516
