,ygfI
Cr_1,-0.011172964106471908
Cr_2,-0.020335229614634714
Cr_3,-0.025596549255687686
Cr_4,0.0033823226550666234
Cr_5,0.014450763837085394
Cr_6,0.024010037365434923
Fe_1,-0.026168787519961063
Fe_2,-0.055599608515782856
Fe_3,-0.05152791445561626
Fe_4,-0.03783578528651738
Fe_5,-0.028635196131197336
Fe_6,-0.02556696306168888
Cd_1,-0.00042249170182884704
Cd_2,0.008162869348535797
Cd_3,0.03172880002430985
Cd_4,0.04700102675505409
Cd_5,0.053618302302552864
Cd_6,0.07336861228797867
Zn_1,0.0189968721752836
Zn_2,0.024450468205480743
Zn_3,0.015964737593973252
Zn_4,0.021451213671369537
Zn_5,0.0014164644344045398
Zn_6,-0.000769547090296049
Cu_1,0.011395318191151785
Cu_2,0.02551736972304916
Cu_3,0.043687659314153714
Cu_4,0.05643263657217575
Cu_5,0.06279449074586127
Cu_6,0.07805281028602358
Pb_1,0.011501594863497295
Pb_2,0.004695912969797985
Pb_3,0.015553964008212778
Pb_4,0.017212991223529508
Pb_5,0.04192373039554493
Pb_6,0.06006187416142434
