,A,MetJ
R2,,0.5875849025419794
xmin,,-2.7618021939999995
xmid,,
xmax,,2.2578750210000003
ystart,,-14.39961501616934
yend,,11.270264469517247
control__wt_glc__1,-0.0326047599121435,-0.07934265299999943
control__wt_glc__2,0.0326047599121891,0.0793426530000012
fur__wt_dpd__1,9.51764325623398,1.6048190610000006
fur__wt_dpd__2,7.090895304850565,1.0388905800000003
fur__wt_fe__1,0.4197880495352284,-0.005803675999999314
fur__wt_fe__2,0.4555339863129876,0.03779216500000082
fur__delfur_dpd__1,13.421768146997398,2.2274766610000007
fur__delfur_dpd__2,13.47131863967748,2.2578750210000003
fur__delfur_fe2__1,2.264592090207373,0.0589097289999998
fur__delfur_fe2__2,2.3478517660394305,-0.02402078599999946
acid__wt_ph5__1,1.0571310206500626,0.6630870220000009
acid__wt_ph5__2,0.9946927511041214,0.6760802340000005
acid__delgadx_ph5__2,0.338419793554515,0.5353372900000011
acid__delgadw_ph5__1,0.7572717406686814,0.6916216780000006
acid__delgadw_ph5__2,0.7204733296336653,0.7003252920000005
acid__delgade_ph5__1,1.0691988225836135,0.6715488240000003
acid__delgade_ph5__2,1.2083163281554328,0.7756436590000001
oxidative__wt_pq__1,-2.687479879401061,-0.21304127400000009
oxidative__wt_pq__2,-2.6970747794775733,-0.26535539199999997
oxidative__deloxyr_pq__1,-8.136283966943505,-0.546955131999999
oxidative__deloxyr_pq__2,-7.764304289274628,-0.4784108709999994
oxidative__delsoxr_pq__1,2.039428527264732,0.08509995899999902
oxidative__delsoxr_pq__2,1.8971262597314265,0.11443438300000075
oxidative__delsoxs_pq__1,1.0194621921195015,0.3951366830000005
oxidative__delsoxs_pq__2,1.2943476716051403,0.37397250300000096
nac_ntrc__wt_csn__1,1.0392199458641194,0.10893953800000132
nac_ntrc__wt_csn__2,0.88642166795423,0.2238918820000002
nac_ntrc__wt_cytd__1,-3.8487540820254353,-0.608197595
nac_ntrc__wt_cytd__2,-3.843200224917711,-0.7341038419999997
nac_ntrc__wt_gln__1,-4.917007756202818,-0.4205401440000003
nac_ntrc__wt_gln__2,-4.617220885955493,-0.4488913209999996
nac_ntrc__bw_delnac_csn__1,-2.4993129095733484,0.15231707399999905
nac_ntrc__bw_delnac_csn__2,-1.4001478560079712,-0.1807102539999992
nac_ntrc__bw_delnac_cytd__1,-2.832256974807805,0.03716448099999958
nac_ntrc__bw_delnac_cytd__2,-2.9350045292574105,-0.07246843499999933
nac_ntrc__bw_delnac_gln__1,-4.809518513509783,-0.055179332999999886
nac_ntrc__bw_delnac_gln__2,-4.92314434379876,-0.11213905299999992
nac_ntrc__bw_delnac_nh4__1,0.8152227378045748,0.30195026500000033
nac_ntrc__bw_delnac_nh4__2,0.510340825822623,0.2468382650000009
misc__wt_no_te__1,-1.548818195484021,-0.2939579309999996
misc__wt_no_te__2,-1.0736196815647043,-0.3409362199999997
misc__bw_delcbl__1,1.443740935937442,0.31564578500000096
misc__bw_delcbl__2,1.2350410125639812,0.4296616010000012
misc__bw_delfabr__1,1.9364610822971744,0.4524712080000004
misc__bw_delfabr__2,1.9860187312216475,0.491894769
misc__bw_delfadr__1,0.3679474849777746,0.2998693620000008
misc__bw_delfadr__2,0.2909575922568045,0.28409831899999993
misc__nitr_031__1,-0.1991770583444128,-0.05438806699999965
omics__wt_glu__1,0.3883498239182965,-0.17336004600000088
omics__wt_glu__2,0.2679443336036194,0.11473680200000125
omics__wt_gly__1,0.7803007239158428,-0.07718031599999975
omics__wt_gly__2,0.3278806450991635,-0.19891222499999905
omics__wt_thr__1,-2.9938479034502645,-0.2518408719999989
omics__wt_thr__2,-2.818251315656276,-0.4412740519999989
omics__bw_ac__1,-0.178005208846938,-0.04074024699999868
omics__bw_ac__2,-0.4993104631784288,-0.05620220699999834
omics__bw_fum__1,0.2615452331964822,0.6856287930000011
omics__bw_fum__2,0.1758832005689323,0.7141937870000009
