,hepA
Cr_1,0.00295086786439498
Cr_2,0.0009298601281620914
Cr_3,0.001734922971932189
Cr_4,0.009092132434275929
Cr_5,0.004986845916797132
Cr_6,0.0060269879420288535
Fe_1,-0.010379011977983205
Fe_2,-0.050851794143319716
Fe_3,-0.08029142160716582
Fe_4,-0.1161610087423878
Fe_5,-0.11787147707511925
Fe_6,-0.11723496276170553
Cd_1,0.0027874494002158327
Cd_2,-0.0004638826658968363
Cd_3,-0.004127261472647874
Cd_4,-0.0017573739297536005
Cd_5,-0.009820389683469963
Cd_6,-0.008626658546741493
Zn_1,-0.01957802205074205
Zn_2,-0.02355852201334204
Zn_3,-0.033493503798735225
Zn_4,-0.02499362166931326
Zn_5,-0.008975109183156759
Zn_6,0.010938873391409249
Cu_1,0.00026663695977354525
Cu_2,0.0013679603344613448
Cu_3,0.007195170035580126
Cu_4,0.008090717904372704
Cu_5,0.005956987315187154
Cu_6,0.007191731020513581
Pb_1,0.007479283292350501
Pb_2,0.027992636442334767
Pb_3,0.050795680015378326
Pb_4,0.06505233486009274
Pb_5,0.07494633775834048
Pb_6,0.08480226348749026
