,ydcS
Cr_1,0.003256327931717901
Cr_2,0.009765691857957457
Cr_3,0.019262881202882155
Cr_4,0.02876769010041865
Cr_5,0.03669073376570835
Cr_6,0.042057413477504885
Fe_1,-0.010193372304264491
Fe_2,-0.02583091067235868
Fe_3,-0.0457044105381586
Fe_4,-0.07050472552477234
Fe_5,-0.08786006871910702
Fe_6,-0.10114082520142834
Cd_1,0.002254861139969479
Cd_2,0.003286521461377041
Cd_3,0.006067127890789011
Cd_4,0.006855304429395488
Cd_5,0.003124948668425077
Cd_6,0.006209653518728897
Zn_1,-0.005291902414016489
Zn_2,0.0007686826992448005
Zn_3,0.010498373640079006
Zn_4,0.01822720235124212
Zn_5,0.02102690282635846
Zn_6,0.02589325043584353
Cu_1,0.008525578722983084
Cu_2,0.017043386877396483
Cu_3,0.028424806028080236
Cu_4,0.042204527704138996
Cu_5,0.05514835345286439
Cu_6,0.06581360324049038
Pb_1,0.007286140709024805
Pb_2,0.017087003424706194
Pb_3,0.033867036380266766
Pb_4,0.05382101124612647
Pb_5,0.06916825918955173
Pb_6,0.08738319976078653
