,yahI
Cr_1,-0.004712485987158063
Cr_2,0.00139943301983463
Cr_3,0.02058937108136207
Cr_4,0.016631914247255828
Cr_5,0.009796121097368831
Cr_6,-0.012724202774508742
Fe_1,-0.02838875613255925
Fe_2,-0.022949946695241804
Fe_3,-0.027525947949973147
Fe_4,-0.03893624035027225
Fe_5,-0.03203118403360874
Fe_6,-0.030042162825648425
Cd_1,-0.004489102398534431
Cd_2,8.76273620097477e-05
Cd_3,0.003593625568922145
Cd_4,0.010961217391152462
Cd_5,0.014384707586322662
Cd_6,0.017435993965930496
Zn_1,0.014773489057788174
Zn_2,-0.0010851461820836994
Zn_3,0.046773726245976484
Zn_4,0.11789869255818275
Zn_5,0.05615257722022437
Zn_6,0.033859196901685935
Cu_1,0.0017324530394189608
Cu_2,0.005430063473196078
Cu_3,0.004839885947882822
Cu_4,0.010159913551311815
Cu_5,0.011855778897413669
Cu_6,0.021709142096693564
Pb_1,0.0117716868001625
Pb_2,0.005004552407801352
Pb_3,0.00578942827690529
Pb_4,-0.00034590059884172047
Pb_5,0.011738270023090618
Pb_6,0.008522449280768625
