,yfcV
Cr_1,-0.01221169034770073
Cr_2,-0.013967055495971823
Cr_3,-0.0017810715697299548
Cr_4,0.002309934303911062
Cr_5,0.008467867723257503
Cr_6,0.0108563653555622
Fe_1,-0.04324447500428155
Fe_2,-0.09959899943503156
Fe_3,-0.12004914769967408
Fe_4,-0.14153619210712706
Fe_5,-0.1557006879099085
Fe_6,-0.15344070004461444
Cd_1,0.0038171875525575905
Cd_2,0.004818734445586096
Cd_3,0.00542715780963724
Cd_4,0.008139915295633876
Cd_5,0.004142806924509524
Cd_6,0.00904741487950374
Zn_1,-0.030703152246046757
Zn_2,-0.06122329571598361
Zn_3,-0.07054239044013512
Zn_4,-0.08801563487890263
Zn_5,-0.11293792270769568
Zn_6,0.013127520824872507
Cu_1,-0.0017375472893248205
Cu_2,-0.0014601285543731815
Cu_3,-0.002668577312916503
Cu_4,0.0022146356843259357
Cu_5,0.008811296515942646
Cu_6,0.014599272006927868
Pb_1,0.013093769940838848
Pb_2,0.020420838679465758
Pb_3,0.039469926144254944
Pb_4,0.04871465506475006
Pb_5,0.06017494689803485
Pb_6,0.08070190891982144
