,yceF
Cr_1,0.003029123929058814
Cr_2,0.003306794756489837
Cr_3,0.002404353952268521
Cr_4,0.0023355534114217953
Cr_5,0.003475596846840988
Cr_6,0.00322143991390836
Fe_1,-0.0050490433926116745
Fe_2,-0.02754696661954733
Fe_3,-0.060356495404504586
Fe_4,-0.10049145489210623
Fe_5,-0.14548062262631745
Fe_6,-0.18659337809960613
Cd_1,0.002549950782602612
Cd_2,0.002694271923980159
Cd_3,0.002300860727264646
Cd_4,-0.0005890524767441455
Cd_5,-0.009812441372809157
Cd_6,-0.011233978684409895
Zn_1,0.0005195384483158351
Zn_2,-0.006295379962928409
Zn_3,-0.014887388310571488
Zn_4,-0.017174469504843123
Zn_5,-0.018114795494096544
Zn_6,-0.016386141005031853
Cu_1,0.008972705807536351
Cu_2,0.017099055729029172
Cu_3,0.026674064343048184
Cu_4,0.03246809179706638
Cu_5,0.03386435659615916
Cu_6,0.036667200368436126
Pb_1,0.0029739534172032703
Pb_2,0.012052042790136693
Pb_3,0.019471945617351542
Pb_4,0.02483808725073642
Pb_5,0.02592082303090571
Pb_6,0.026721540279364183
