,A,FadR
R2,,0.7609653688205157
xmin,,-1.7039
xmid,,0.3160800978298853
xmax,,4.806
ystart,,3.1951368463252137
yend,,41.73580469545714
LBexp_1,4.8283216824,1.173
LBexp_2,6.3582534335,0.9089
LBexp_3,6.8873920925,0.6958000000000001
LBtran_1,20.3030526813,1.7264
LBtran_2,12.2035866373,0.2695
LBtran_3,10.5290334052,0.5984
LBstat_1,26.643298912,2.4977
LBstat_2,27.6920682971,2.2425
LBstat_3,27.3658239466,1.8309000000000002
LBGexp_1,2.6138821413,0.3438
LBGexp_2,3.3924575912,0.2902
LBGexp_3,3.6594689667,0.23950000000000002
LBGtran_2,9.0991806099,-0.7426
LBGtran_3,6.1297073004,0.004200000000000001
LBGstat_1,4.7526236809,-0.5519000000000001
LBGstat_2,6.9489156966,-0.5091
LBGstat_3,6.637741014,-0.8988
S0_1,12.1371092262,0.8609
S0_2,11.9645535101,1.2118
S0_3,12.4789017651,1.1068
S1_1,8.3578988964,0.9891000000000001
S1_2,9.2618327045,0.8677
S1_3,9.1401309485,1.381
S2_1,13.8933071591,1.2761
S2_2,15.2755021053,1.3341
S2_3,16.0321771948,0.7678
S3_1,12.1172447023,1.1884000000000001
S3_2,11.835492243400001,1.7041
S4_1,12.9707965599,2.2723
S4_2,16.4215615642,2.3213
S4_3,15.594484747,1.7438
S5_1,15.7235879639,2.4024
S5_2,16.8678243027,2.9192
S5_3,14.8526272357,2.884
S6_1,24.2955863748,3.2583
S6_2,37.683871491,4.6369
S6_3,22.9225537338,3.3108
S6/t_1,24.4234742786,3.2675
S6/t_2,35.5884853284,3.9339
S6_4,22.3975927828,2.445
S6_5,23.6318870813,3.165
S6_6,21.3428633364,3.0758
S7_4,24.675799407,3.1844
S7_5,26.1718209532,3.1304
S7_6,23.8432577373,2.9675000000000002
S8_4,25.8078757722,2.7153
S8_5,33.5168514644,4.4036
G135_1,8.3514247954,0.604
G135_3,11.2085803689,-1.3834
G150_1,11.7138233136,1.3209
G150_2,3.7902543239,0.8643000000000001
G150_3,11.5312795494,1.3900000000000001
G180_1,5.4203496445,0.0572
G180_2,3.7787249915,0.6669
G180_3,7.0014649671,-0.6401
C30_1,6.2119712946,-0.6594
C30_2,6.0721236162,-0.352
C90_1,9.3773832066,-0.261
C90_2,8.4471735602,0.17
BI_1,19.5138666795,1.084
BI_2,19.6039767529,1.1111
BC_2,35.1795931524,4.2479
BC/t_1,33.0778439828,3.6058
BC/t_2,31.5443081652,4.0831
BC_1,33.6130370916,3.3409
Sw_1,40.2369459004,3.8951000000000002
Sw_2,39.8427856664,4.3272
BT_1,19.9052434088,1.6760000000000002
BT_2,21.4213437575,1.7562
B36_1,21.095978693,2.1114
B36_2,17.4875051287,1.3673
B60_1,34.305133192,3.7795
B60_2,30.4599015704,3.7685
M9exp_1,-0.423721135,0.3381
M9exp_2,0.1732327851,-0.0616
M9exp_3,0.2504883499,-0.2765
M9tran_1,2.8233451733,0.2071
M9tran_2,2.475835228,-0.12350000000000001
M9tran_3,2.0271674344,0.5038
M9stat_1,21.250443653,1.5876000000000001
M9stat_2,22.6278563399,1.1722000000000001
M9stat_3,23.3786774514,1.232
M+G_1,5.1446995692,-0.1399
M+G_2,1.2494137218999999,-0.046700000000000005
M+G_3,1.7718555224,-0.1589
Glu_1,2.9603767992,0.5224
Glu_2,3.0152087071,0.48710000000000003
Glu_3,2.3382480338000002,0.5740000000000001
Fru_1,2.4142300354,0.5372
Fru_2,5.8829405664,0.9839
Fru_3,5.4341215949,0.3578
Mal_1,5.982399308,0.3276
Mal_2,4.5961066686,0.09390000000000001
Mal_3,5.2228311313,0.5949
G+S_2,9.3873642877,1.2513
G+S_3,9.3863999996,1.6976
Pyr_1,6.5173763095,0.352
Pyr_2,5.457358682,1.0179
Pyr_3,6.0416632595,0.7173
Gly_1,14.4593733533,0.276
Gly_2,12.3462202698,1.1998
Gly_3,16.2292378522,-0.12050000000000001
Glucon_1,9.8606952388,0.4693
Glucon_2,9.5877899786,0.6285000000000001
Glucon_3,11.3978216388,-0.0041
aero_1,-0.0613191057,0.6365000000000001
aero_2,2.0775367154,-0.4088
aero_3,0.5659409308000001,0.4466
nit_1,5.0355679898,0.6824
nit_2,3.3824877617,0.4546
nit_3,4.6269635785,0.8689
ferm_1,9.4731359629,1.4406
ferm_2,3.7394764429,0.3231
ferm_3,5.4683989694,1.3934
T-5.40H_1,2.5052511297,1.1254
T-4.40H_1,1.6796848269,0.91
T-3.40H_1,1.9317043925,0.8533000000000001
T-2.40H_1,2.4570246494,0.6606000000000001
T-1.40H_1,2.881443713,0.38680000000000003
T-1.10H_1,4.2497583076,0.7255
T-0.40H_1,4.5149696224,0.3514
T0.0H_1,7.9827099651,0.6931
T0.30H_1,52.6602663538,4.806
T1.0H_1,32.4058775288,2.2319
T1.30H_1,24.1176938693,2.1486
T2.0H_1,14.7492239577,1.4883
T2.30H_1,11.669407809199999,1.9609999999999999
T3.0H_1,8.0779627531,1.2479
T3.30H_1,7.2026193699,1.5635
T4.0H_1,7.5028146663,1.4331
T5.0H_1,5.4993405098,0.49770000000000003
HPh_1,1.366063948,0.2492
HPh_2,0.36960823540000004,-0.0857
HPh_3,1.3175144331,-0.0373
LPh_1,0.7230954726000001,0.32680000000000003
LPh_2,-0.5136369501,0.9026000000000001
LPh_3,0.7277298601000001,0.46830000000000005
LPhT_1,6.6911452998000005,-0.3547
LPhT_2,5.1370207585,-0.166
LPhT_3,5.5095656301,0.1583
SMMPr_1,3.2358903124,0.3794
SMMPr_2,3.957598558,0.386
SMMPr_3,4.4743558125,0.5984
HiTm_1,14.3359121126,0.33190000000000003
HiTm_2,11.5576521853,0.35910000000000003
HiTm_3,10.2672079971,0.3536
