,A,Fur
R2,,0.01665116488160856
xmin,,-9.893921886
xmid,,
xmax,,2.690967164
ystart,,8.504216480367958
yend,,-5.125153215902899
control__wt_glc__1,-0.2876408042,-0.05856442
control__wt_glc__2,0.2876408042,0.05856442
fur__wt_dpd__1,10.3002127991,-0.195719219
fur__wt_dpd__2,8.9531940904,-0.214364089
fur__wt_fe__1,-4.5374773772,-0.127927685
fur__wt_fe__2,-5.7632162655,-0.036050093000000005
fur__delfur_dpd__1,10.5259190533,-9.893921886
fur__delfur_dpd__2,11.014749626,-9.018917863
fur__delfur_fe2__1,16.6763311046,-9.893921886
fur__delfur_fe2__2,16.3946560807,-9.893921886
acid__wt_ph5__1,-3.448679882,-0.38185324400000004
acid__wt_ph5__2,-2.9991996223,-0.429145386
acid__delgadx_ph5__2,-5.8957299106,-0.37117846200000004
acid__delgadw_ph5__1,-12.1318961415,-0.452975416
acid__delgadw_ph5__2,-12.5190884341,-0.39381758800000005
acid__delgade_ph5__1,-2.0769679364,-0.353113338
acid__delgade_ph5__2,-1.9972562148000002,-0.38769100100000004
oxidative__wt_pq__1,10.341506667,0.358912004
oxidative__wt_pq__2,10.539952225,0.424605604
oxidative__deloxyr_pq__1,7.2180352681,0.7270403440000001
oxidative__deloxyr_pq__2,7.0204190212,0.680972684
oxidative__delsoxr_pq__1,11.143066619,-0.46000364200000005
oxidative__delsoxr_pq__2,11.3113422449,-0.471555094
oxidative__delsoxs_pq__1,9.1508461613,-0.492841931
oxidative__delsoxs_pq__2,8.9747470303,-0.53716116
nac_ntrc__wt_csn__1,-2.1009371229,0.35313890400000003
nac_ntrc__wt_csn__2,-1.7606050903,0.217593104
nac_ntrc__wt_cytd__1,3.0418954395,0.346499224
nac_ntrc__wt_cytd__2,3.1925608683,0.345243954
nac_ntrc__wt_gln__1,-9.0004732896,-0.107863365
nac_ntrc__wt_gln__2,-9.0605448826,-0.193602928
nac_ntrc__bw_delnac_csn__1,-3.2403180041,0.189864784
nac_ntrc__bw_delnac_csn__2,-1.4999345901,0.311143514
nac_ntrc__bw_delnac_cytd__1,-1.5831410307,-0.02804138
nac_ntrc__bw_delnac_cytd__2,-1.0887847541,-0.165441159
nac_ntrc__bw_delnac_gln__1,0.5940907586,-0.358506798
nac_ntrc__bw_delnac_gln__2,0.3015923642,-0.237658523
nac_ntrc__bw_delnac_nh4__1,0.0102181908,-0.48028834600000003
nac_ntrc__bw_delnac_nh4__2,-0.3227994135,-0.45890349
misc__wt_no_te__1,14.9762970768,-0.380946999
misc__wt_no_te__2,15.9887198396,-0.424414491
misc__bw_delcbl__1,8.2129479023,-0.46137134300000004
misc__bw_delcbl__2,8.1576926965,-0.424360053
misc__bw_delfabr__1,-0.3831781734,-0.5693764170000001
misc__bw_delfabr__2,-0.080088689,-0.613082707
misc__bw_delfadr__1,13.0685061825,-0.44849048700000005
misc__bw_delfadr__2,13.244038743800001,-0.440752898
misc__nitr_031__1,0.2790218672,-0.50327982
omics__wt_glu__1,-10.7345542985,-0.630133567
omics__wt_glu__2,-10.9433776043,-0.588191276
omics__wt_gly__1,-1.9080663137,-0.904279075
omics__wt_gly__2,-2.0998216615,-0.918647058
omics__wt_thr__1,-7.9494043817,-0.50309914
omics__wt_thr__2,-8.5223037866,-0.609504574
omics__bw_ac__1,-3.0824900294,-0.059433047
omics__bw_ac__2,-2.6492960662,-0.031227748000000003
omics__bw_fum__1,-3.9040871403,-0.005709301
omics__bw_fum__2,-3.9745467597,0.06492178400000001
omics__bw_glc__1,-3.9245601307999998,-0.011917744000000001
omics__bw_glc__2,-3.8993866798,0.042641122000000004
omics__bw_pyr__1,-3.8244154195,-0.189724267
omics__bw_pyr__2,-4.8662227837,-0.117464833
ompr__wt_nacl__1,10.223680256,-0.400303825
ompr__wt_nacl__2,9.9242071305,-0.504065686
ompr__bw_delompr_nacl__1,5.344711343,-0.632963179
ompr__bw_delompr_nacl__2,5.59252461,-0.543296344
minspan__wt_ade__1,-9.3349325414,0.19507696400000002
minspan__wt_glc__2,-10.587508972,-0.5062775780000001
minspan__wt_glc__3,-10.5736807287,-0.44786492600000005
minspan__wt_glc__4,-10.1750753478,-0.415952254
minspan__wt_glc_anaero__1,-14.0357437179,-0.8732856050000001
minspan__wt_glc_anaero__2,-14.7139456493,-1.157357443
minspan__wt_trp__1,-15.2836691922,-0.868235834
minspan__bw_delcra_glc__2,-13.4524725462,-0.918542673
