,intS
Cr_1,-0.008490821858654416
Cr_2,-0.01064677689304562
Cr_3,-0.014905531945100619
Cr_4,-0.02137401696312629
Cr_5,-0.021704185059255338
Cr_6,-0.01650498057692819
Fe_1,-0.06846187185387345
Fe_2,-0.16643787712688285
Fe_3,-0.2811810908397057
Fe_4,-0.14812185585452722
Fe_5,-0.1911635778499437
Fe_6,-0.2323769974792517
Cd_1,0.004576327844540838
Cd_2,0.009153597942252694
Cd_3,0.012772183839748584
Cd_4,0.021777834682785557
Cd_5,0.02230275773148094
Cd_6,0.03210172619392729
Zn_1,-0.004821691304667703
Zn_2,-0.012309784258076906
Zn_3,-0.0044484279932558365
Zn_4,0.009075352694307134
Zn_5,0.017015328019586506
Zn_6,0.024768533538915092
Cu_1,0.007461693144188453
Cu_2,0.015351052119439684
Cu_3,0.020458785415905487
Cu_4,0.02497273199547314
Cu_5,0.03533443601165725
Cu_6,0.047739330359876105
Pb_1,5.78255254851661e-05
Pb_2,0.0019103972828717587
Pb_3,0.003760424092926531
Pb_4,0.0058072402029938075
Pb_5,0.01310738077802918
Pb_6,0.023090425121678963
