,mscS
Cr_1,0.0037385345147407678
Cr_2,0.00023938321684371269
Cr_3,0.00477806097542254
Cr_4,0.01298991036635499
Cr_5,0.026037771709347842
Cr_6,0.033308349104465534
Fe_1,-0.01279234196239628
Fe_2,-0.04508993735559022
Fe_3,-0.09293931366482493
Fe_4,-0.15464211125983027
Fe_5,-0.2166474677347618
Fe_6,-0.27437910593324666
Cd_1,0.0032068282022298675
Cd_2,0.008132829013509002
Cd_3,0.017091911849809658
Cd_4,0.029849291695774764
Cd_5,0.037483006876638435
Cd_6,0.044417470183865486
Zn_1,-0.010294512799469852
Zn_2,-0.02875051452258872
Zn_3,-0.04580255259844631
Zn_4,-0.04817069886196945
Zn_5,-0.07023057594447445
Zn_6,-0.08268428544587007
Cu_1,0.0028448691694836705
Cu_2,0.007158030811845734
Cu_3,0.008274326068341754
Cu_4,0.0071610598832946935
Cu_5,0.010258296218177743
Cu_6,0.007788036630089261
Pb_1,0.002570783545222448
Pb_2,0.00803865344489638
Pb_3,0.008423321892804871
Pb_4,0.010468322107561587
Pb_5,0.013471578464554502
Pb_6,0.01631403409579563
