,Value,list
TF,nagC/tyrR,
reg_genes,49,"['ptsI' 'aroG' 'nanM' 'ydeP' 'tyrB' 'umpH' 'feoC' 'creB' 'nanC' 'yaiA'
 'crr' 'manX' 'nagC' 'aroF' 'creD' 'aroL' 'chbA' 'chbG' 'fimB' 'ptsH'
 'manZ' 'nanS' 'dinI' 'feoA' 'manY' 'creC' 'creA' 'aroM' 'chiQ' 'folA'
 'tyrR' 'feoB' 'tyrA']"
comp_genes,17,['dtpA']
both_genes,16,"['ydeM' 'ydeN' 'galP' 'glmU' 'glmS' 'mtr' 'nagA' 'aroP' 'chbC' 'chiP'
 'chbR' 'chbB' 'tyrP' 'nagE' 'chbF' 'nagB']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,24,
comp_ops,11,
both_ops,10,
