,maeB
Cr_1,0.00042938540126106513
Cr_2,0.0047667378016790635
Cr_3,0.009371946605435107
Cr_4,0.01225706123721542
Cr_5,0.013712405354486066
Cr_6,0.010058779305090224
Fe_1,-0.006281020809307668
Fe_2,-0.02190389244773729
Fe_3,-0.04070260171598656
Fe_4,-0.061782688373207426
Fe_5,-0.07730856807561293
Fe_6,-0.08623578366435337
Cd_1,0.0033639984230457213
Cd_2,0.008000652222802315
Cd_3,0.013003022386376654
Cd_4,0.01700516275138466
Cd_5,0.015236589864775487
Cd_6,0.01794478926585591
Zn_1,-0.004338512180066867
Zn_2,-0.0043670357637917104
Zn_3,0.0038576521430550743
Zn_4,0.011972139060405826
Zn_5,0.018675095961180367
Zn_6,0.02746505014945746
Cu_1,0.0041911472939111455
Cu_2,0.007160199020973355
Cu_3,0.011834665122164046
Cu_4,0.02005315471151807
Cu_5,0.03236620247976416
Cu_6,0.03994778416038376
Pb_1,0.007816679689312295
Pb_2,0.013785440203099065
Pb_3,0.02407993507344941
Pb_4,0.034333929263348086
Pb_5,0.04063088072563726
Pb_6,0.04798436266020945
