,yncB
Cr_1,0.0034857917375665424
Cr_2,0.006858625323948646
Cr_3,0.011665182591577445
Cr_4,0.01622676240045219
Cr_5,0.021846963232280282
Cr_6,0.025662986477583617
Fe_1,-0.007964631897597794
Fe_2,-0.031974844400991104
Fe_3,-0.0625451223137951
Fe_4,-0.09492744813317723
Fe_5,-0.12436540567213705
Fe_6,-0.14577731224261412
Cd_1,0.0013995826997841635
Cd_2,0.0018827270497055485
Cd_3,0.0017174890712230374
Cd_4,-0.0006399397388913411
Cd_5,-0.00645273759261411
Cd_6,-0.0059862394441287155
Zn_1,-0.004529952894866432
Zn_2,-0.011587459596672522
Zn_3,-0.011859675994387244
Zn_4,-0.008226973155306558
Zn_5,-0.003542652843958551
Zn_6,0.004299943162741893
Cu_1,0.009083366985090465
Cu_2,0.01861218386715564
Cu_3,0.03082445981610708
Cu_4,0.04327896351528314
Cu_5,0.054084703593339466
Cu_6,0.06525587733496836
Pb_1,0.0028597471003659284
Pb_2,0.007786612826098214
Pb_3,0.016301469809903817
Pb_4,0.027926361375315505
Pb_5,0.036607108686527834
Pb_6,0.04806981049494443
