,A,fucR,araC,allR
R2,,0.4798850387159608,0.3756899548456347,0.33252466667721836
xmin,,3.86283694003386,3.9892724512591404,6.74013197221566
xmid,,6.818963341145691,6.918460369107316,8.435706924933449
xmax,,10.2270986456704,8.62303557495933,8.92064871392868
ystart,,1.080125549437355,1.300592712276476,1.7864837313735507
yend,,24.092178701252813,16.113271336615547,21.808815786643947
control__wt_glc__1,0.378690115898,5.88268500265017,5.3994435493884305,7.89391188756534
control__wt_glc__2,-0.378690115898,5.485104798317031,5.690126218510129,8.20921513112145
fur__wt_dpd__1,2.45767830868,5.3527368437537595,5.90622626056077,7.931263727712491
fur__wt_dpd__2,2.24867791365,5.35897266699254,5.83458802870072,7.87764153022414
fur__wt_fe__1,-0.32734434043099997,5.23298901004476,5.24666244822753,7.6218094507034895
fur__wt_fe__2,-0.259163988107,5.5142470348025405,5.38614217116558,7.61758519581751
fur__delfur_dpd__1,1.77725072863,5.34271080752263,6.012251793139581,7.80617744157207
fur__delfur_dpd__2,2.69065509685,5.17553861356367,5.876610105865019,8.01103250856858
fur__delfur_fe2__1,0.656936800803,5.858371519946001,5.7846696164065,7.72285147285357
fur__delfur_fe2__2,0.319582636741,5.6611251903501705,5.89741586762517,7.78509639313864
acid__wt_ph5__1,0.742002994352,5.61846704340464,5.68431691493153,7.855955707895429
acid__wt_ph5__2,0.162380034418,5.71180705417587,5.470717230804009,7.88112868594733
acid__delgadx_ph5__1,-0.864264380821,5.374982286777099,5.5945577889599,7.861908882365721
acid__delgadx_ph5__2,0.053181073264,5.7467968202109505,5.656420698758191,7.76698429320765
acid__delgadw_ph5__1,0.51638665032,5.5576869225088,5.77964428913578,7.824044015658469
acid__delgadw_ph5__2,0.44808222628600003,5.726398947462241,5.8259437249103705,7.706570056350619
acid__delgade_ph5__1,0.652611083157,5.563049319432241,5.982468743355691,7.9578080224314105
acid__delgade_ph5__2,0.504441541946,5.593242954979201,5.85236297693264,7.955864328606469
oxidative__wt_pq__1,1.6053575154700002,5.61108724314545,5.67503944762743,7.63479950574648
oxidative__wt_pq__2,1.57627178454,5.522089577361691,5.623945011458599,7.4857324592076395
oxidative__deloxyr_pq__1,1.06637446731,6.20348477681594,5.69355554685182,8.20671617074079
