,yjiA
Cr_1,0.0015235084190721006
Cr_2,-0.001100043783787813
Cr_3,0.0028464554272249216
Cr_4,0.0004302461406984421
Cr_5,0.0016238686418370133
Cr_6,-0.0001248614518745723
Fe_1,0.00033996880975104883
Fe_2,-0.007892099127373509
Fe_3,-0.02962068422503945
Fe_4,-0.04562579123140066
Fe_5,-0.05234710649634805
Fe_6,-0.05869330190818865
Cd_1,0.0005712239396125562
Cd_2,0.002089061319025001
Cd_3,-0.0015574061529105144
Cd_4,-0.0025499090937521197
Cd_5,-0.008684351716893439
Cd_6,-0.0094614345758579
Zn_1,0.005237165463884239
Zn_2,0.0065199348223002225
Zn_3,0.02309219788019478
Zn_4,0.0412676913790151
Zn_5,0.05330586946773081
Zn_6,0.05606577259946021
Cu_1,-0.0010242520926119444
Cu_2,-0.0013412444104166387
Cu_3,0.006043204858845855
Cu_4,0.009683558059244323
Cu_5,0.015791594576139854
Cu_6,0.021335637192349682
Pb_1,0.0008944137279717963
Pb_2,0.01916809974859132
Pb_3,0.03996276387382346
Pb_4,0.04621895171321981
Pb_5,0.04550827903454081
Pb_6,0.04338797440569665
