,ycfJ
Cr_1,0.0245965217233039
Cr_2,0.04932698916293633
Cr_3,0.07706131495654912
Cr_4,0.11057472531581662
Cr_5,0.14336810035617112
Cr_6,0.17664220569665076
Fe_1,0.0025392190674692673
Fe_2,-0.002944645054456876
Fe_3,-0.024632538283972768
Fe_4,-0.061066331354630965
Fe_5,-0.09677538968794602
Fe_6,-0.12867888880497316
Cd_1,-0.0021448429222263848
Cd_2,-0.006880926189285592
Cd_3,-0.012783670548603332
Cd_4,-0.018962959203191642
Cd_5,-0.027324650066072605
Cd_6,-0.03394181672607413
Zn_1,-0.017624016786500926
Zn_2,-0.035871364757143705
Zn_3,-0.06421068086519273
Zn_4,-0.09407187988145754
Zn_5,-0.12524496464070406
Zn_6,-0.15373194698276965
Cu_1,0.010412820552381193
Cu_2,0.02115918803772849
Cu_3,0.01693702387352741
Cu_4,0.0006296641336286912
Cu_5,-0.030953072309614083
Cu_6,-0.05681490051733164
Pb_1,0.011703987908649542
Pb_2,0.02435095261903999
Pb_3,0.02712687624776049
Pb_4,0.03630810922863776
Pb_5,0.0495899255756372
Pb_6,0.057682445955327274
