,A,RpoS,DhaR
R2,,0.003322313685685474,0.0006533256122464026
xmin,,-8.919357295,-2.811900786
xmid,,,0.2941312221988528
xmax,,4.1241387708,2.1585608582
ystart,,-1.693097628849578,-0.2985528079831722
yend,,0.24224388485465748,-0.9525995087343592
aat__00m_00s__1,0.0092852365,0.12389400360000001,-0.2172373487
aat__00m_30s__1,0.6764664960000001,0.0917269352,-0.2844922046
aat__01m_00s__1,0.3227750445,0.2668871882,-0.456020036
aat__02m_00s__1,0.0086425406,0.6346371772,-0.331819519
aat__05m_00s__1,-0.2818817501,0.7311205703,-0.3098829272
aat__10m_00s__1,-0.5375535012,0.047843636,-0.4592843159
aat__00m_00s__2,-0.1533223836,-0.011411859,0.28137798940000003
aat__00m_30s__2,1.6999940401,0.1487334191,-0.3628741923
aat__01m_00s__2,0.0774892394,0.5719214457,-0.0843416049
aat__02m_00s__2,-0.2860556421,0.7703039475,-0.1494349171
aat__05m_00s__2,-0.392902627,0.9491057834000001,-0.3673665028
aat__10m_00s__2,-1.3678891614,0.7949646441,-0.0180834718
aat__00m_00s__3,0.144037147,-0.1124821446,-0.0641406407
aat__00m_30s__3,-0.0538705372,0.0485519624,-0.029120408400000002
aat__01m_00s__3,0.0199814552,0.2451175693,-0.1313782445
aat__02m_00s__3,-0.2243191776,0.5595453177,-0.15316149310000002
aat__05m_00s__3,-0.4796097292,1.0364768899,-0.2071173591
aat__10m_00s__3,-0.9694343987,0.7744984592,0.0426414244
abx_mega__dmso-2__1,1.9382846139,-0.6575883396000001,0.31664170080000004
abx_mega__ery_dmso__1,-8.8906384313,-0.41439528130000003,-0.3023509944
abx_mega__nal_naoh__1,1.4282036744,-1.5267586985000001,0.2224859241
abx_mega__dmso-5__1,-0.8668726993,0.013532579400000001,-0.49704368660000003
abx_mega__rif_dmso__1,-2.7336430614,-0.4507050045,-0.1198672145
abx_mega__novo_h2o__1,-6.9635689917,-1.3699185348,-1.3912087652
abx_mega__rach_dmso__1,-3.0194633103,0.0290375594,-0.334726156
abx_mega__metro_dmso__1,-1.1082272024,-0.18024768900000002,-0.2552371795
abx_mega__dmso-6__1,-0.0918678759,-0.34416743510000003,-0.3206024475
abx_mega__chl_h2o__1,-10.365043053600001,-0.4766743304,0.3368659055
abx_mega__cst_h2o__1,0.5104313923,0.2482267076,0.07187591700000001
abx_mega__tec_h2o__1,-4.6311901105,0.022944085000000003,0.5167507555
abx_mega__str_h2o__1,-1.6423167376,-1.1664088354,0.2538645476
abx_mega__ctx_h2o__1,-0.3863249018,0.2455560166,0.3743420368
abx_mega__nal_naoh__2,-0.0524428086,-0.7270261651000001,-0.43795320470000004
abx_mega__phos_h2o__1,-1.8356183048,0.1246632279,0.049924452700000004
abx_mega__dmso-5__2,-0.7641309219,0.17891339180000002,-0.13584430960000002
abx_mega__polmyx_h2o__1,0.3355494594,0.8690290136000001,0.3403648678
abx_mega__h2o-8b__1,0.1789676512,0.1019266675,0.1957357823
abx_mega__h2o-6__1,0.3106569732,-0.159521414,0.0410865127
abx_mega__thio_dmso__1,-5.4030259037,-0.7117395496000001,-0.390840821
abx_mega__phos_h2o__2,1.273491134,0.2200444192,-0.30853694
abx_mega__ctx_h2o__2,-1.9700377126,-0.24488367700000002,-0.631024549
abx_mega__lzd_dmso__1,-6.6603098513,-0.6076757834000001,0.2791256046
abx_mega__naoh-9__1,1.1395903793,0.4192586639,0.362692391
abx_mega__dox_dmso__1,-3.0335777861,0.3345453216,-0.0552772698
abx_mega__phos_ethanol__1,0.611702596,0.9291638342,0.1226051601
abx_mega__teix_dmso__1,-2.296493927,0.6945469896,-0.7567001539
abx_mega__dmso-10__1,1.1431268252,0.7728686116,0.21718926930000002
abx_mega__van_dmso__1,-4.4059295352,1.381880559,-0.6527664521000001
abx_mega__ramo_h2o__1,-2.7667342228000003,0.8471900986,0.3043415555
abx_mega__tec_h2o__2,-3.6636595395000002,0.9445992575000001,-0.0256487159
abx_mega__h2o-7__1,-1.003098222,-0.101510944,-0.3780244752
abx_mega__cro_h2o__1,-1.2264821892,-0.39254390580000004,-0.2271007174
abx_mega__tric_ethanol__1,-0.1223697579,1.6641543512,0.7471559578
abx_mega__nor_naoh__1,0.1895196287,-0.6444778476,-0.3006270277
abx_mega__teix_dmso__2,-1.3292132073,-0.28779240840000003,-0.5922207566000001
abx_mega__nal_naoh__3,-0.4550259927,-0.6870264622000001,-0.3794702528
abx_mega__novo_h2o__2,-6.6131262182,-1.3007259393,-2.0017749206
