,A,AcoR
R2,,0.22954451353607574
xmin,,-3.85273568494494
xmid,,-0.34784554010248564
xmax,,4.96588814462036
ystart,,0.5512921863638419
yend,,14.138395869234074
SRX8138083,2.5451292033842496,-1.0412307541564159
SRX8138084,-1.830095115301228,0.049065925032171435
SRX8138085,-0.715034088083015,0.9921648291242446
SRX8138086,-0.8438522146017982,-1.097366685783789
SRX8138087,-1.7348853129175277,0.2948532627458773
SRX8138088,-1.330782615352112,1.0379083835075944
ERX4111143,0.4200117779830457,-0.2588737589066108
ERX4111144,-0.4014187141360622,-1.952885280809884
ERX4111145,0.2056338619372796,-0.3316466175284249
ERX4111146,-0.9762124825656092,-0.9933897985048824
ERX4111148,-0.5129159634127967,0.1485857814149485
ERX4111149,-0.3734124232143751,-0.12335135797381812
ERX4111150,-0.5776084895346599,-0.04410926898434564
ERX4111151,-0.4200117779830088,0.2588737589066108
ERX4111152,-0.3048559600039385,-0.5144754113614853
ERX4111153,0.06614026775879936,-0.19426713302928
ERX4111154,-1.4922248659278698,-0.8853972906809853
ERX4111156,-0.8414658591707074,-0.3225997956828479
ERX4111157,0.42795697360140816,0.02289192356448666
ERX4111158,-0.19235270631412754,0.259935781672322
SRX5577041,-0.5302064289287587,0.040871904946894855
SRX5577042,0.3287907807710443,-0.035199802623035126
SRX5577043,0.3197726150697109,-0.08579403796439422
SRX5577044,-0.11835696691200595,0.08012193564053405
SRX5577045,-0.08407564966858784,0.6505631943570358
SRX5577046,0.7206927776207611,0.6180965809253061
SRX5577047,-0.15102622450599953,0.6536630569695769
SRX5577048,0.913680063968886,0.5504081775741931
SRX5577049,4.9933989305151245,1.0502377697575542
SRX5577050,2.870465873350792,0.7286944637459567
SRX5577051,7.958532073546027,1.7084179070865964
SRX5577052,8.820281135917739,1.5788942453086665
SRX5577053,10.746980640622489,1.6198114954123883
SRX5577054,8.313285362365994,0.30431232810834663
SRX5577055,11.662498847850596,1.957601944166788
SRX5577056,9.253442390247985,0.4546133035475388
SRX5577057,9.638276468479873,0.9837361058600256
SRX5577058,13.084642119982783,0.6117144848195939
SRX5577059,11.163396765860217,0.007660538955319485
SRX5577060,12.271282198029215,0.2625953920941377
SRX5577061,15.462708376227301,3.1311911357684514
SRX5577062,14.376083951894719,0.5972000345521793
SRX5577063,18.860609213995264,1.3975074449882254
SRX5577064,14.416757325183498,1.9292487575865158
SRX5577065,27.852465862422555,2.9896877864273597
SRX5577066,19.32812196077598,2.5275055836052283
SRX5577067,22.38185250410821,3.4400094655872397
SRX5577068,23.47536211788593,3.1325770171107816
SRX533166,0.4830023205160569,0.07555608631692401
SRX533171,-0.4830023205160625,-0.07555608631692445
SRX533786,0.6792951010266521,-0.06847808255261256
SRX533787,0.2461278893363201,-0.6323410242401732
SRX533789,1.6327210081517884,-0.34035223511708423
SRX533791,0.37770447162193255,-0.7214971413050013
SRX533792,1.7181620739945882,-0.4309476779965058
SRX533793,0.9619484038609228,-0.6430277240138973
SRX533794,0.17821217990077945,-0.4794731355782198
SRX533795,0.2378435175856227,-0.7453934343387827
SRX4703435,-0.3187601876068364,-0.024659695489965383
SRX4703436,-0.3168297420982433,0.19888338495929012
SRX4703437,0.6355899297051206,-0.17422368946932387
SRX4703438,2.365049373459984,0.536814062987724
SRX4703439,1.050070470988108,0.3414778275082573
SRX4703440,0.7602396493223044,0.636449687061956
SRX6902408,-0.7330218321531374,-0.12512484299636514
SRX6902409,-0.4915072831466138,0.2435173524488841
SRX6902410,-0.4440263862207665,-0.0902529621248518
SRX6902411,-0.5055826595066946,-0.2479132927312257
SRX6902412,-0.2353809946892077,0.13389099992636802
SRX6902413,0.21735375673315302,0.3707664810874101
SRX6902414,0.3210367192477278,0.09823444918998048
SRX6902415,-0.3210367192477317,-0.09823444918998003
SRX5278698,0.8580351047769506,0.3307134375353433
SRX5278699,0.2931751899096549,0.2515886026229381
SRX5278700,-1.1512102946865987,-0.5823020401582815
SRX5278701,2.586761685471717,-1.1661202715671335
SRX5278702,1.378889946258384,-0.9229997610402858
