,yhcB
Cr_1,0.0007285190163071669
Cr_2,0.005702488640826281
Cr_3,0.00811589649119504
Cr_4,0.0039019479038393977
Cr_5,-0.00032013664649685046
Cr_6,-0.0050532304181146685
Fe_1,-0.01208975763739437
Fe_2,-0.029447894069455083
Fe_3,-0.046970162105012286
Fe_4,-0.060978137152434324
Fe_5,-0.06965506357070894
Fe_6,-0.07105262789212888
Cd_1,0.0031391466008609888
Cd_2,0.004672372897120389
Cd_3,0.0059507646587041605
Cd_4,0.00740479048604283
Cd_5,0.003311650096165478
Cd_6,0.006181294319783829
Zn_1,-3.3261889829646075e-05
Zn_2,-0.001577557665525238
Zn_3,0.0008635250773482914
Zn_4,0.01290524495047522
Zn_5,0.026212322455563018
Zn_6,0.04048325317099087
Cu_1,0.003230258263866895
Cu_2,0.010693490718736615
Cu_3,0.015509028785177466
Cu_4,0.01826671750853289
Cu_5,0.02029586050357876
Cu_6,0.02462807616317651
Pb_1,-0.00016160076507489628
Pb_2,-0.000737126809642434
Pb_3,-0.0028750181304300674
Pb_4,-0.007270017512612023
Pb_5,-0.007633425684299849
Pb_6,-0.008555641593405156
