,asnV
Cr_1,0.017114099615430218
Cr_2,-0.012093346791254891
Cr_3,0.009355713363765871
Cr_4,0.027728544547139137
Cr_5,-0.0024463799806838946
Cr_6,0.019584112374676402
Fe_1,-0.009170575486683114
Fe_2,-0.0009170267659516637
Fe_3,0.028313087323609792
Fe_4,0.04383721070865003
Fe_5,0.06282653117262653
Fe_6,0.08264628986815255
Cd_1,-0.0058148794505088995
Cd_2,-0.010983845859810465
Cd_3,-0.004613089517298845
Cd_4,-0.002658766652962637
Cd_5,-0.015246903930646925
Cd_6,-0.019773309897398873
Zn_1,-0.00292945266108536
Zn_2,0.002535816838123304
Zn_3,0.015631303406229282
Zn_4,0.0324472511223543
Zn_5,0.04255612324762087
Zn_6,0.04615123044352305
Cu_1,0.002887446339330324
Cu_2,0.02680098851569283
Cu_3,0.034912218292664984
Cu_4,0.032882714548224765
Cu_5,0.03229864996860625
Cu_6,0.030767325301549294
Pb_1,-0.000801560739251343
Pb_2,-0.0027444110551826904
Pb_3,0.002533783043911812
Pb_4,0.010327926028088193
Pb_5,0.02270449278138375
Pb_6,0.02920768309816473
