,A,PurR
R2,,0.29334882990841193
xmin,,7.4170092103
xmid,,
xmax,,9.3848655096
ystart,,-4.743824286977329
yend,,20.49270772165437
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,4.068255285,8.0422652368
USA300_LAC_U01-Set001_CAMHB_Control_1,-0.299529321,8.0259850545
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,2.030494505,7.9981933376
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,3.404604223,8.058526726
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,2.782676574,8.0641581417
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,3.767882239,8.0064669067
USA300_LAC_U01-Set001_CAMHB_Control_2,0.299529321,8.0482768796
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,2.904859102,8.011198495
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,3.215486969,8.0988628987
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,3.320797872,8.1350102464
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-0.846693977,7.4572563343
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,-1.226321145,7.9007194337
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,-1.431576174,7.6943039773
USA300_LAC_U01-Set001_R10LB_PreCulture_1,26.1087608,8.9535938609
USA300_LAC_U01-Set001_R10LB_PreCulture_2,26.7327414,8.9940735265
USA300_LAC_U01-Set001_R10LB_Control_1,18.04525113,8.6128901823
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,18.89474906,8.7485435381
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,17.7397218,8.7127030464
USA300_LAC_U01-Set001_R10LB_Control_2,19.65172238,8.7866257743
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,20.384854,8.7897316242
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,18.56529348,8.7782718422
USA300_TCH1516_U01-Set000_R10LB_Control_1,14.31726805,9.2291840493
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,11.6869283,9.0278800022
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,10.58127674,9.163158367
USA300_TCH1516_U01-Set000_R10LB_Control_2,18.51920983,9.3848655096
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,14.51575454,9.1733350278
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,12.85945936,9.2590679793
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-8.21547409,8.3285984778
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-8.256625647,8.3474222796
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.846693977,7.5780823891
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,0.36655795500000005,7.690660969
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,-0.168782547,7.7747893491
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-2.738369078,8.2123558451
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-2.513565417,8.1319805487
USA300_LAC_U01-Set004_CAMHB_Control_1,-0.988983826,8.2976789023
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-0.639065636,8.6182673092
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,-0.924610154,8.5549412609
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,-1.541632235,8.6177370178
USA300_LAC_U01-Set004_CAMHB_Control_2,-0.368993754,8.4123448497
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-1.622189572,8.4315455628
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-1.771057375,8.5321034584
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-1.3648250499999999,8.5113569981
USA300_LAC_U01-Set004_R10LB_Control_1,23.57509179,8.9789992921
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,16.74512695,8.7500894735
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,14.32981701,8.6646461769
USA300_LAC_U01-Set004_R10LB_Control_2,23.74307733,8.9944452125
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,17.48964948,8.7313163971
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,15.29435037,8.7250868798
USA300_TCH1516_U01-Set003_CAMHB_Control_2,0.035059402,8.0709570495
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,-0.779959151,7.9520872156
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,1.379545496,7.6565523136
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,2.016125438,8.086788931
USA300_TCH1516_U01-Set003_CAMHB_Control_3,-0.23732229300000002,8.0000747317
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,-0.027850304000000003,7.8508093842
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,2.232761235,7.6777773516
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,1.409212675,8.1847368172
USA300_LAC_ICA-Set001_R10LB_Control_1,22.66341787,8.2692143286
USA300_LAC_ICA-Set001_R10LB_Control_2,24.1471828,8.3276999887
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,21.55456517,8.4477398413
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,20.27313495,8.3643366981
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,11.29273297,8.6689138036
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,11.82945277,8.6946886157
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,19.7787246,9.1813322322
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,19.93399337,9.153043859
USA300_TCH1516_BK-Set001_THB_Control_1,-3.349160531,7.4170092103
USA300_TCH1516_BK-Set001_THB_Control_2,-0.8822068030000001,8.1618386151
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-4.330820429,8.9130847064
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,-3.108638349,8.9006505999
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,-2.321308735,8.851102616
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,-2.129829557,8.1459410412
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,-0.046400353000000005,8.291201006
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,-3.619071329,7.9999216926
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,4.643700215,8.0076468149
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,4.930431117,8.0046033461
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,6.830928422,8.5672514088
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,5.300673479,8.3786143879
USA300_LAC_ICA-Set002_CAMHB_Control_1,2.519195412,7.9334072983
USA300_LAC_ICA-Set002_CAMHB_Control_2,2.570377626,8.1382775206
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,19.68757065,8.9570401237
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,20.48612369,8.9074502214
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,21.80090089,8.145538308
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,21.65508602,8.0611943369
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,16.5164823,8.5666652012
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,13.51095709,8.6588675461
USA300_SNFM1_ICA-Set002_R10LB_Control_1,24.64291522,9.2138041464
USA300_SNFM1_ICA-Set002_R10LB_Control_2,25.54847866,9.2635778764
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,10.8497378,8.6637272688
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,10.44271762,8.6431054891
USA300_SNFR19_ICA-Set002_R10LB_Control_1,24.3298696,9.1305258983
