,speE
Cr_1,0.0010827434516003948
Cr_2,0.0032935255184942647
Cr_3,0.005934616570795376
Cr_4,0.009592948121114392
Cr_5,0.011099103673931484
Cr_6,0.009840456796478127
Fe_1,0.002874952728280737
Fe_2,-0.007035728164508859
Fe_3,-0.015489533764645675
Fe_4,-0.026083909471714413
Fe_5,-0.03676203617767943
Fe_6,-0.04164196048245042
Cd_1,0.0024910375870558807
Cd_2,0.0048742737655246325
Cd_3,0.005296991511877291
Cd_4,0.006537646505214782
Cd_5,0.0023561628044211588
Cd_6,0.005075301287502405
Zn_1,0.007786277445070967
Zn_2,0.017311120657897642
Zn_3,0.03677878261447316
Zn_4,0.06117881161410374
Zn_5,0.08873801333826231
Zn_6,0.11413526035287012
Cu_1,0.003547644662658081
Cu_2,0.008254222857598848
Cu_3,0.016072313551267415
Cu_4,0.023361070540214208
Cu_5,0.028700190026516425
Cu_6,0.036286068213005535
Pb_1,0.007191818231949741
Pb_2,0.0053882553894998965
Pb_3,0.0012117572863862898
Pb_4,0.005347323137782557
Pb_5,0.013535587547487451
Pb_6,0.01665343880072808
