,yfcJ
Cr_1,0.005187746634338501
Cr_2,0.004330933123281014
Cr_3,0.005524465721732072
Cr_4,0.009536245916213021
Cr_5,0.011474831058804293
Cr_6,0.013378167107058015
Fe_1,0.002091878170231948
Fe_2,0.003620111135009669
Fe_3,0.003239413417892435
Fe_4,-0.005228516661222132
Fe_5,-0.009619717894403405
Fe_6,-0.01161979966785361
Cd_1,0.0013599281118976227
Cd_2,0.004266074793609293
Cd_3,0.009591935079820505
Cd_4,0.01136770763145672
Cd_5,0.008854611133409412
Cd_6,0.01328478655858134
Zn_1,-0.00630575917095914
Zn_2,-0.005239326648583223
Zn_3,0.01312718347947942
Zn_4,0.025783233426435685
Zn_5,0.03532038505101949
Zn_6,0.03189792004171501
Cu_1,0.008478505507476537
Cu_2,0.013994968712949021
Cu_3,0.019046051380902932
Cu_4,0.026996386599549043
Cu_5,0.030841994674597757
Cu_6,0.04108226612050277
Pb_1,0.0009092473507977217
Pb_2,0.008324353828135872
Pb_3,0.021372525391977447
Pb_4,0.03824205759252103
Pb_5,0.05628399573648838
Pb_6,0.06739565432235309
