,ydhR
Cr_1,-0.008023859301675729
Cr_2,-0.008639326029098775
Cr_3,-0.003097667590761039
Cr_4,-0.011458905446202051
Cr_5,-0.028479805312325537
Cr_6,-0.052803952763884235
Fe_1,-0.020369571315389856
Fe_2,-0.03941713676874119
Fe_3,-0.049225834159183864
Fe_4,-0.0493983449953804
Fe_5,-0.041238207505942974
Fe_6,-0.033140927297118934
Cd_1,-0.0007516550343935809
Cd_2,-0.007840172884173205
Cd_3,-0.01358912951454389
Cd_4,-0.017129039154652668
Cd_5,-0.025759431208480336
Cd_6,-0.027392682696968748
Zn_1,-0.02357354479633637
Zn_2,-0.0391239348700248
Zn_3,-0.030675516670566224
Zn_4,-0.03537839434476685
Zn_5,-0.04946743457539
Zn_6,-0.050785486189452715
Cu_1,0.003575086332929906
Cu_2,0.009618480801681591
Cu_3,0.017408367887965237
Cu_4,0.011630176872331036
Cu_5,0.016036565323396302
Cu_6,0.02292793084180598
Pb_1,-0.0039955964852950426
Pb_2,-0.009393339066172363
Pb_3,-0.01046391288888737
Pb_4,-0.014484029133575141
Pb_5,-0.01177900713099218
Pb_6,-0.019192210139885424
