,yneJ
Cr_1,-0.0016376588711617848
Cr_2,-0.0005187958699061574
Cr_3,0.0019650078670790747
Cr_4,0.003526762321540315
Cr_5,0.005972038956421159
Cr_6,0.00437022289850116
Fe_1,-0.017239611234996108
Fe_2,-0.0321471268436507
Fe_3,-0.04403479702126538
Fe_4,-0.0541459427075438
Fe_5,-0.060818625334910975
Fe_6,-0.06631165411922757
Cd_1,-0.012849669989915082
Cd_2,-0.02365957672481153
Cd_3,-0.0365991115983083
Cd_4,-0.044816210183832465
Cd_5,-0.05573203030938801
Cd_6,-0.06182502748337119
Zn_1,-0.0016433592151655642
Zn_2,-0.002906241626580972
Zn_3,-0.00031873737934319
Zn_4,0.003337447672622308
Zn_5,0.009766529978864626
Zn_6,0.019333731792839124
Cu_1,0.01058565401406295
Cu_2,0.012039199587111271
Cu_3,0.02005462424096561
Cu_4,0.03436898622225632
Cu_5,0.05249457145329544
Cu_6,0.0718534307148801
Pb_1,0.004792333793238364
Pb_2,0.01124159925659363
Pb_3,0.02024282556106507
Pb_4,0.030468041386532932
Pb_5,0.04293770724474753
Pb_6,0.05693617151121703
