sample,BSU_misc_RNA_10
LBexp_1,13.5365
LBexp_2,14.7491
LBexp_3,14.218
LBtran_1,11.8586
LBtran_2,11.1379
LBtran_3,11.0669
LBstat_1,10.1667
LBstat_2,9.7397
LBstat_3,9.5309
LBGexp_1,14.5548
LBGexp_2,13.7117
LBGexp_3,13.6341
LBGtran_2,12.0984
LBGtran_3,13.8086
LBGstat_1,14.9129
LBGstat_2,16.2765
LBGstat_3,10.386
S0_1,12.4627
S0_2,12.9897
S0_3,12.0514
S1_1,12.0635
S1_2,11.597
S1_3,11.7989
S2_1,10.0507
S2_2,9.7301
S2_3,9.3592
S3_1,12.1541
S3_2,11.2406
S4_1,14.1315
S4_2,12.3126
S4_3,12.8077
S5_1,11.7518
S5_2,11.3376
S5_3,12.0748
S6_1,10.2711
S6_2,9.0709
S6_3,10.6722
S6/t_1,10.4724
S6/t_2,8.7404
S6_4,9.863
S6_5,10.4255
S6_6,10.686
S7_4,10.6631
S7_5,10.189
S7_6,10.2708
S8_4,9.8844
S8_5,9.9277
G135_1,12.6962
G135_3,10.8054
G150_1,11.8665
G150_2,13.3524
G150_3,12.1824
G180_1,12.9024
G180_2,13.4644
G180_3,12.2823
C30_1,11.8575
C30_2,12.2953
C90_1,11.8938
C90_2,12.367
BI_1,11.9107
BI_2,12.6305
BC_2,9.8318
BC/t_1,9.5203
BC/t_2,10.2625
BC_1,9.284
Sw_1,10.2289
Sw_2,10.7615
BT_1,11.2488
BT_2,10.7972
B36_1,14.1711
B36_2,13.9058
B60_1,14.0837
B60_2,14.9869
M9exp_1,15.2873
M9exp_2,14.890999999999998
M9exp_3,14.8191
M9tran_1,13.9421
M9tran_2,13.6764
M9tran_3,14.3282
M9stat_1,9.6631
M9stat_2,10.0176
M9stat_3,9.8908
M+G_1,13.076
M+G_2,14.4285
M+G_3,13.7232
Glu_1,14.8639
Glu_2,14.4143
Glu_3,14.75
Fru_1,14.1718
Fru_2,14.1406
Fru_3,13.9787
Mal_1,11.839
Mal_2,13.0441
Mal_3,12.8638
G+S_2,12.2646
G+S_3,13.1326
Pyr_1,11.7279
Pyr_2,12.3593
Pyr_3,12.1493
Gly_1,10.8454
Gly_2,11.3887
Gly_3,10.0998
Glucon_1,13.5383
Glucon_2,13.7891
Glucon_3,12.8552
aero_1,15.3007
aero_2,14.2364
aero_3,14.9765
nit_1,14.5336
nit_2,14.4013
nit_3,13.8374
ferm_1,14.5162
ferm_2,14.3382
ferm_3,15.1612
T-5.40H_1,14.5418
T-4.40H_1,14.1661
T-3.40H_1,14.4509
T-2.40H_1,14.5467
T-1.40H_1,14.3133
T-1.10H_1,14.0389
T-0.40H_1,13.7391
T0.0H_1,13.153
T0.30H_1,9.5556
T1.0H_1,9.1359
T1.30H_1,9.2157
T2.0H_1,9.1844
T2.30H_1,10.5405
T3.0H_1,10.7613
T3.30H_1,10.8368
T4.0H_1,11.0133
T5.0H_1,10.4187
HPh_1,15.1464
HPh_2,14.8435
HPh_3,15.2463
LPh_1,14.7717
LPh_2,15.2094
LPh_3,14.4641
LPhT_1,11.6211
LPhT_2,11.2216
LPhT_3,11.0993
SMMPr_1,14.2034
SMMPr_2,13.3163
SMMPr_3,13.5443
HiTm_1,11.2143
HiTm_2,13.4881
HiTm_3,12.7294
LoTm_1,13.5085
LoTm_2,13.1473
LoTm_3,13.3071
HiOs_1,13.5565
HiOs_2,12.9409
HiOs_3,13.0095
BMM_1,15.3714
BMM_2,15.1521
BMM_3,15.0398
Heat_1,13.8124
Heat_2,13.9099
Heat_3,13.1486
Cold_1,14.1998
Cold_2,13.1074
Cold_3,13.0151
Etha_1,9.9287
Etha_2,9.7024
Etha_3,9.9851
SMM_1,14.7465
SMM_2,14.7229
SMM_3,14.6638
Salt_1,12.4543
Salt_2,12.0743
Salt_3,12.1884
Mt0_1,12.5284
Mt0_3,12.8943
M0t45_1,12.2875
M0t45_2,12.4765
M0t45_3,13.025
M0t90_1,9.9206
M0t90_2,10.9672
M0t90_3,11.019
M40t45_1,11.6677
M40t45_2,10.8316
M40t45_3,13.0912
M40t90_1,9.9675
M40t90_2,10.9051
M40t90_3,11.1958
dia0_1,12.4369
dia0_2,13.226
dia0_3,13.6378
dia5_1,11.3739
dia5_2,11.3049
dia5_3,12.0008
dia15_1,13.0566
dia15_2,14.138
dia15_3,12.1499
Diami_1,10.8294
Diami_2,10.3388
Diami_3,10.7014
Paraq_1,12.4058
Paraq_2,13.061
Paraq_3,11.6885
H2O2_1,11.6957
H2O2_2,11.9447
H2O2_3,11.5174
Oxctl_1,11.8221
Oxctl_2,11.8419
Oxctl_3,12.6142
GM-0.1_1,14.2992
GM-0.2_1,14.074000000000002
GM+5_1,13.8448
GM+15_1,14.2368
GM+25_1,15.1922
GM+45_1,15.0165
GM+60_1,14.8446
GM+90_1,14.8787
GM+120_1,13.4924
GM+150_1,14.0052
GM-0.1_2,14.8525
GM-0.2_2,15.061
GM+5_2,14.2067
GM+10_2,13.9472
GM+15_2,14.0706
GM+25_2,14.9999
GM+45_2,14.5503
GM+60_2,14.1113
GM+90_2,14.7407
GM+150_2,13.8373
GM-0.1_3,14.4553
GM-0.2_3,14.5891
GM+5_3,14.0347
GM+10_3,13.1249
GM+15_3,14.162
GM+25_3,14.056
GM+45_3,13.9762
GM+60_3,13.4615
GM+90_3,15.1176
GM+120_3,13.9897
GM+150_3,14.5586
MG-0.1_1,14.0713
MG+5_1,14.95
MG+10_1,15.7599
MG+15_1,15.1382
MG+25_1,15.0394
MG+45_1,14.4936
MG+120_1,13.0087
MG+150_1,14.4084
MG-0.1_2,13.824000000000002
MG-0.2_2,14.2081
MG+5_2,14.6138
MG+10_2,15.4161
MG+15_2,15.8658
MG+25_2,14.878
MG+45_2,13.6452
MG+60_2,14.6519
MG+90_2,14.1147
MG+120_2,14.1599
MG-0.1_3,14.8767
MG-0.2_3,14.4303
MG+5_3,14.8637
MG+10_3,15.0233
MG+15_3,15.8566
MG+25_3,15.1302
MG+45_3,15.0369
MG+60_3,14.7132
MG+90_3,15.0041
MG+120_3,14.0298
MG+150_3,14.7294
