,adiA
Cr_1,-0.002936931346652518
Cr_2,0.001064960754906999
Cr_3,0.003050061557922191
Cr_4,0.0038324146494508687
Cr_5,0.009266930542953742
Cr_6,0.007986864307333532
Fe_1,-0.000812717808883508
Fe_2,-0.0035319360746841563
Fe_3,0.007136282677692914
Fe_4,0.017595195406998224
Fe_5,0.034587889236093954
Fe_6,0.056772363463896025
Cd_1,0.012690491662697062
Cd_2,0.030030480937679536
Cd_3,0.044919397241927735
Cd_4,0.054327396895576335
Cd_5,0.06423851164439894
Cd_6,0.08170728521399744
Zn_1,0.001487522710462873
Zn_2,0.006883700093593471
Zn_3,0.01414304044021984
Zn_4,0.021774326335841192
Zn_5,0.024975323107434028
Zn_6,0.03272576013812874
Cu_1,0.008549879664240364
Cu_2,0.01915901695355701
Cu_3,0.025117917056559542
Cu_4,0.030068020858418688
Cu_5,0.03559073190708339
Cu_6,0.0420040330774638
Pb_1,0.004280351666110585
Pb_2,0.005705653523715502
Pb_3,0.003091043460088611
Pb_4,-0.00024031974498446793
Pb_5,-0.0012542909577530634
Pb_6,-0.002120019304505128
