,lysU
Cr_1,0.0002265152963648354
Cr_2,-0.0013986239570091526
Cr_3,0.0077669778427554735
Cr_4,0.022393329015387483
Cr_5,0.03055595933294938
Cr_6,0.03990013311852828
Fe_1,-0.01510731883232265
Fe_2,-0.04598444344438474
Fe_3,-0.08292708831063356
Fe_4,-0.1252437419159107
Fe_5,-0.18106161571400686
Fe_6,-0.22482920786502567
Cd_1,0.008904805014793274
Cd_2,0.03994161232274087
Cd_3,0.07848712777325133
Cd_4,0.12161396978431735
Cd_5,0.15423945525382773
Cd_6,0.18868866754205416
Zn_1,-0.05647978366395695
Zn_2,-0.07901115449707949
Zn_3,-0.09822169863649996
Zn_4,-0.13045018762449545
Zn_5,-0.14151402480422107
Zn_6,-0.14807098708716918
Cu_1,0.005130748569582232
Cu_2,0.0009019103975515848
Cu_3,-0.002840550192508884
Cu_4,-0.006714527159486884
Cu_5,-0.011850733708090486
Cu_6,-0.013905361501856195
Pb_1,0.008868005741813123
Pb_2,0.014777934239251575
Pb_3,0.02340873622424701
Pb_4,0.028780629332674938
Pb_5,0.039488220177896965
Pb_6,0.04551233511034617
