,garD
Cr_1,0.0067973911687278935
Cr_2,0.014235573797490866
Cr_3,0.023236410196848745
Cr_4,0.02472099113010791
Cr_5,0.03099973743456612
Cr_6,0.0387020962516687
Fe_1,-0.01262512281477647
Fe_2,-0.0046740501738488
Fe_3,0.009465869605261504
Fe_4,0.0188994185803115
Fe_5,0.033683335717639686
Fe_6,0.041398196877258917
Cd_1,0.0011752802366068846
Cd_2,0.009715120014848306
Cd_3,0.012727543014828657
Cd_4,0.018310554676825245
Cd_5,0.015600260242629999
Cd_6,0.02026780120432253
Zn_1,-0.005750496941630609
Zn_2,0.009583668939625064
Zn_3,0.04031793308088365
Zn_4,0.06698436087877635
Zn_5,0.0917816769657799
Zn_6,0.10695305573675236
Cu_1,0.0004222360377724917
Cu_2,-0.0007869483557130799
Cu_3,0.0035227062603836266
Cu_4,0.013252836457937015
Cu_5,0.010204611643375213
Cu_6,0.013897924963593229
Pb_1,-0.0018968809241064165
Pb_2,0.003961554181005371
Pb_3,0.008671318281386703
Pb_4,0.018531173671952
Pb_5,0.01593971548603935
Pb_6,0.027016952166674903
