,A,TyrR
R2,,0.05728733746704662
xmin,,-4.3684085797
xmid,,0.11682700114054671
xmax,,1.4690570437
ystart,,-0.45654379380391896
yend,,-3.4684616765609397
aat__00m_00s__1,-0.6556897309,-0.0753965107
aat__00m_30s__1,-0.0605455344,-0.1144501228
aat__01m_00s__1,-0.0330994671,-0.0639722746
aat__02m_00s__1,0.8778039068,-0.3299412324
aat__05m_00s__1,2.0089902882,-0.36559427720000004
aat__10m_00s__1,2.6253718096,-0.538406303
aat__00m_00s__2,0.300079924,-0.0361266271
aat__00m_30s__2,0.2894571611,0.1297581211
aat__01m_00s__2,0.504131909,-0.0598720468
aat__02m_00s__2,1.6577028719,-0.23577854620000002
aat__05m_00s__2,2.0117923684,-0.2833877197
aat__10m_00s__2,0.9175479906,-0.2953451682
aat__00m_00s__3,0.3556098069,0.1115231378
aat__00m_30s__3,-0.43666092840000004,-0.1889036048
aat__01m_00s__3,-0.07773080090000001,-0.15378287770000001
aat__02m_00s__3,0.5490619164,-0.4481559411
aat__05m_00s__3,0.9084052376,-0.2016132058
aat__10m_00s__3,0.5042752228,-0.3516782773
abx_mega__dmso-2__1,-0.4935052366,-0.4681648377
abx_mega__ery_dmso__1,1.234008501,-1.2686284988
abx_mega__nal_naoh__1,-1.2188011999000001,-1.7049754027000001
abx_mega__dmso-5__1,0.23313198540000002,-0.38306536890000004
abx_mega__rif_dmso__1,-0.1726998528,-0.7633789867
abx_mega__novo_h2o__1,4.8873170551000005,-3.8006709396
abx_mega__rach_dmso__1,-0.3655863354,-0.9666186571000001
abx_mega__metro_dmso__1,0.2847195981,-0.5844179226
abx_mega__dmso-6__1,0.0316012709,-0.5154628874
abx_mega__chl_h2o__1,3.0645570796,-1.6671859927
abx_mega__cst_h2o__1,-0.1671580739,-0.0392227293
abx_mega__tec_h2o__1,-1.4235383856000001,-1.4241990949
abx_mega__str_h2o__1,-0.8484533387000001,-0.30477568850000003
abx_mega__ctx_h2o__1,-0.8561765397000001,-0.0543232046
abx_mega__nal_naoh__2,-0.8299101852,-0.3745632908
abx_mega__phos_h2o__1,-1.1393844881,-0.3214724858
abx_mega__dmso-5__2,0.2463414673,-0.521629973
abx_mega__polmyx_h2o__1,-0.4169343475,0.1710789938
abx_mega__h2o-8b__1,-0.8960512883,-0.0942948297
abx_mega__h2o-6__1,-0.9470046292000001,-0.0062887612
abx_mega__thio_dmso__1,0.5012309352000001,-1.2609287714000001
abx_mega__phos_h2o__2,-1.2052450221,0.1196482397
abx_mega__ctx_h2o__2,-1.2523130943,-0.3097032638
abx_mega__lzd_dmso__1,1.9009999521,-0.6425118750000001
abx_mega__naoh-9__1,-0.1762504265,0.138482305
abx_mega__dox_dmso__1,0.34195837370000004,-0.9338656089
abx_mega__phos_ethanol__1,-1.5535809318,0.0179754219
abx_mega__teix_dmso__1,-0.565648091,-1.4135210949
abx_mega__dmso-10__1,-0.088936265,-0.0765822795
abx_mega__van_dmso__1,-0.204041623,-1.7618614481
abx_mega__ramo_h2o__1,-0.37460739800000004,-0.5360207229
abx_mega__tec_h2o__2,0.6800002862,-0.8268021534000001
abx_mega__h2o-7__1,-0.643593108,-0.372265334
abx_mega__cro_h2o__1,-1.2181550082000001,-0.4719116478
abx_mega__tric_ethanol__1,0.9338012711,-0.053541074800000005
abx_mega__nor_naoh__1,-0.9114947680000001,-0.2686409165
abx_mega__teix_dmso__2,-1.5746035892,-0.7693858140000001
abx_mega__nal_naoh__3,-0.9987829828,-0.4416246381
abx_mega__novo_h2o__2,4.6727221051,-3.9410839912
abx_mega__dmso-10__2,-0.2331839578,-0.275578984
abx_mega__phos_h2o__3,-1.327758905,-0.042659701800000005
abx_mega__dmso-6__2,-0.396950939,-0.4461564752
abx_mega__rfp_ethanol__1,3.2141266274999998,-1.7643496136999999
abx_mega__dmso-5__3,0.0359204856,-0.24246271230000002
abx_mega__amyc-d_dmso__1,1.3065462272000001,-1.452838441
abx_mega__sxt_dmso__1,-0.017800589800000002,-0.4031756321
abx_mega__dmso-1__1,0.0937100668,-0.5247834603
abx_mega__pen_h2o__1,-1.2030987618,-0.2507369438
abx_mega__dmso-10__3,-0.183093993,-0.1445183533
abx_mega__nal_naoh__4,-1.0385074146,-0.4910437588
abx_mega__cip_naoh__1,-1.0667643125,-0.398753234
abx_mega__pen_h2o__2,-1.1989275936000001,-0.25942467280000003
abx_mega__ery_dmso__2,0.579869816,-1.5281963914999999
abx_mega__dmso-2__2,-1.7118411134,-0.6136347734
abx_mega__van_dmso__2,0.123086622,-1.1761034828
abx_mega__h2o-1b__1,0.3465467049,-0.0344366848
abx_mega__ery_h2o__1,2.1702939907,-1.4124346922
abx_mega__bacit_h2o__1,-0.6576398985,-1.5947729869
abx_mega__chl_h2o__2,2.4436485787,-1.5419458273000002
abx_mega__str_h2o__2,-0.19964466320000002,0.0158578332
abx_mega__rfp_ethanol__2,3.0980692269,-1.7992008623
abx_mega__polmyx_h2o__2,-0.6916720384,0.1254054046
abx_mega__tric_h2o__1,-0.43304535460000004,0.34318626900000004
abx_mega__cip_naoh__2,-1.025750985,-0.4724875531
abx_mega__novo_h2o__3,4.2657097121,-4.3684085797
abx_mega__bacit_dmso__1,-1.4507560195,-0.9223647701000001
abx_mega__gen_h2o__1,-0.492311751,-1.3857169075
abx_mega__bacit_dmso__2,-0.974444866,-1.1015306214
abx_mega__chl_dmso__1,3.9075324351000003,-1.2559728763
abx_mega__bacit_h2o__2,-0.8755489247,-1.228379191
abx_mega__lvx_dmso__1,-0.8995389198,-0.9699597842000001
abx_mega__bacit_h2o__3,-1.103279942,-1.5145570847
abx_mega__nor_naoh__2,-0.4016629345,-0.2589599091
abx_mega__amyc-d_dmso__2,0.2683485177,-0.9403053583000001
abx_mega__polmyx_h2o__3,-1.5127153899999999,-0.2532903704
abx_mega__naoh-6__1,-0.480301823,0.1114653714
abx_mega__cst_h2o__2,-0.9554677849000001,-0.1566992688
abx_mega__h2o-1b__2,0.9034406151000001,-0.5594742677
abx_mega__rfp_h2o__1,0.6429149054000001,-1.4503258423
abx_mega__tet_h2o__1,0.7928106699,-1.0009990852
abx_mega__flavo_dmso__1,-0.011416646800000001,-0.5394190046
abx_mega__zeocin_h2o__1,-0.8818048231000001,0.012848703000000001
abx_mega__nor_naoh__3,-0.6860509999000001,-0.47371627380000003
abx_mega__rach_dmso__2,-0.9204240663000001,-1.0337038673
abx_mega__thio_dmso__2,0.7092044254000001,-1.9366719377
abx_mega__amyc-d_dmso__3,1.639171721,-1.1587337261
abx_mega__rif_dmso__2,-1.1761263333,-0.38119595
abx_mega__amyc-d_dmso__4,1.1009611861,-0.6169994392
abx_mega__teix_dmso__3,-1.2498801694,-0.3455921803
abx_mega__valin_dmso__1,-2.2255571658,-0.8929072291
abx_mega__teix_dmso__4,-1.154786144,-0.3727802678
abx_mega__ethanol-10__1,-1.4471224639,0.0957695496
abx_mega__inh_h2o__1,-0.6662213071,0.0359343945
abx_mega__rif_dmso__3,0.7354327958,-0.9427730649
abx_mega__van_dmso__3,-0.25139040700000004,-1.202134135
abx_mega__doxo_dmso__1,-0.4834724536,-0.8159957761000001
abx_mega__tmp_dmso__1,-1.1710691147,-0.48662714890000003
abx_mega__ethanol-10__2,-1.3764793288,0.0868355572
abx_mega__tmp_dmso__2,-1.8941642906,-0.48812735160000004
abx_mega__amyc-d_dmso__5,2.0077183605,-1.4288715865000001
abx_mega__novo_h2o__4,4.6893373721,-3.7444977516
