,norV
Cr_1,-0.0012833219599962848
Cr_2,0.0008567775964604803
Cr_3,0.0008706341991862513
Cr_4,0.0016710111564654279
Cr_5,-7.627436066582473e-05
Cr_6,-0.002131047792991603
Fe_1,-0.006063781383332049
Fe_2,-0.015456638302290087
Fe_3,-0.03880123051987218
Fe_4,-0.054316642407191966
Fe_5,-0.0600768133239725
Fe_6,-0.06625871869624335
Cd_1,-0.00027682217687786844
Cd_2,-0.0040532093161349605
Cd_3,0.000124870588656902
Cd_4,0.0011465821035802355
Cd_5,-0.002408253608244561
Cd_6,-0.0014036786485252491
Zn_1,-0.0042454690045206885
Zn_2,-0.008383524207684756
Zn_3,-0.0036109743217726813
Zn_4,-0.0058610418255379895
Zn_5,-0.0023005858547392385
Zn_6,-0.0022027226424609697
Cu_1,0.003432790700330264
Cu_2,0.00010837133571168902
Cu_3,0.004480800839615412
Cu_4,0.01918842341611593
Cu_5,0.02261666540815386
Cu_6,0.02546451802355848
Pb_1,0.004231708440890398
Pb_2,0.011505697504780182
Pb_3,0.0169022783387989
Pb_4,0.02111012914892651
Pb_5,0.031974721517334694
Pb_6,0.0376001154465585
