,A,GadX
R2,,0.6756356370133085
xmin,,-7.9997220445
xmid,,-1.7790916144381481
xmax,,2.5072357755
ystart,,-14.178984360807718
yend,,13.423882370429455
ecoli_00001,0.069567021,0.0503456065
ecoli_00002,-0.069567021,-0.0503456065
ecoli_00003,6.9830299239,0.0018779745
ecoli_00004,6.9678236012,-0.2226567355
ecoli_00005,1.1068127684,-0.2452050735
ecoli_00006,0.5707431015000001,-0.2742061615
ecoli_00007,8.7809234099,0.4358068685
ecoli_00008,9.1680617555,0.5825835075
ecoli_00009,-0.8016167391,-0.19165281050000002
ecoli_00010,-0.6236017343,-0.2312257125
ecoli_00011,6.8182271257,0.7887973085000001
ecoli_00012,6.7726493787,0.7702489965
ecoli_00014,5.517757551,-7.9997220445
ecoli_00015,7.6694518974,1.1232866215
ecoli_00016,7.4775255857000005,1.0822689865
ecoli_00017,-11.9743474672,0.7466471415
ecoli_00018,-12.0689368287,0.6977910975
ecoli_00019,4.3287080638,-1.0220851425
ecoli_00020,3.8308529548,-1.0583158675
ecoli_00021,3.2497511515,-0.4701019115
ecoli_00022,3.2212343741,-0.44007057250000003
ecoli_00023,6.3138467609,-1.1171747125
ecoli_00024,5.7991583783,-1.0342160025
ecoli_00025,5.7770911811,-0.6086542565
ecoli_00026,5.9656193322,-0.7181850405
ecoli_00027,6.3214660689,0.8083707765
ecoli_00028,6.3153150073,0.7844004705000001
ecoli_00029,-5.8402720745,-0.6108441465000001
ecoli_00030,-5.6894937312,-0.6173364105
ecoli_00031,6.4442560924,0.8968826825
ecoli_00032,6.2685193607,0.8132582565
ecoli_00033,3.5443259909,0.5021608385
ecoli_00034,0.5341597507,-0.5769943865
ecoli_00035,-0.6043679861,-0.0016244155
ecoli_00036,-0.5522638551,-0.0393651685
ecoli_00037,8.8638659106,1.1473516925
ecoli_00038,8.9132641684,1.2716164785
ecoli_00039,-2.7096690227,-0.7623851755000001
ecoli_00040,-2.7469876066000003,-0.8481387655
ecoli_00041,5.1254536088,0.3540893775
ecoli_00042,2.8378379477999998,0.0672567385
ecoli_00043,-2.5227819189,-1.0031535195
ecoli_00044,-2.6204456816,-0.7303237815
ecoli_00045,-6.6126416865,-2.0228205285
ecoli_00046,-6.4835412771,-2.2226282165
ecoli_00047,-2.926931699,-0.5562966065
ecoli_00048,-2.8622629042,-0.5743505425000001
ecoli_00049,9.5487768471,0.9696136905
ecoli_00050,0.3489359045,0.5847712625
ecoli_00051,-0.3544909835,0.1243398975
ecoli_00052,2.4064915331,0.3938978885
ecoli_00053,2.348167258,0.3540767955
ecoli_00054,6.0503064648,1.7915137305000002
ecoli_00055,6.9441457032,1.9122185434999999
ecoli_00056,-4.2788938181,-0.5347496345
ecoli_00057,-4.4009325761,-0.3125456895
ecoli_00058,-11.2152366666,-1.8076444175000002
ecoli_00059,-10.8464335736,-1.7337613305000001
ecoli_00060,-3.9551805205,-0.4403304865
ecoli_00061,-3.9651444331,-0.5462515795
ecoli_00062,-11.8052754648,-0.8417174485000001
ecoli_00063,-12.0837611169,-0.9461260325
ecoli_00064,3.6264181785,1.9910360595
ecoli_00065,3.5035503213,1.9055433105000001
ecoli_00066,-3.350655149,2.1682473555
ecoli_00067,-3.040086894,2.1231500655
ecoli_00068,-0.3992858487,0.8973646515
ecoli_00070,1.4075183253,0.0709246345
ecoli_00071,1.2123176472,-0.0206015305
ecoli_00072,1.033817766,-0.0933717525
ecoli_00073,3.2573095365,0.4667018155
ecoli_00074,3.7125550373,0.3605176755
ecoli_00075,2.4748986637,0.3446108265
ecoli_00077,0.7497653910000001,0.9584900285
ecoli_00078,2.5907428224,1.2113824975
ecoli_00079,-9.7773422548,-2.1356155775
ecoli_00080,1.3772299591000001,0.18836579150000002
ecoli_00081,-1.8903807826,0.5466738855000001
ecoli_00082,4.5754259685,0.4230997695
ecoli_00083,4.3419654493,0.3689077585
ecoli_00084,-1.8253578634,-0.3414185825
ecoli_00085,-1.6795000349,-0.0614367535
ecoli_00086,-1.2034193714,-0.1675351225
ecoli_00087,-1.4092730506,-0.3311380915
ecoli_00088,6.7551033869,0.7307231055000001
ecoli_00089,6.5852375812,0.5180304865
ecoli_00090,1.3240795907,-0.1591694925
ecoli_00091,1.1680808955,-0.0818602945
ecoli_00092,-3.5310053149,-0.8791274405
ecoli_00093,5.0167859482,-0.0040028775
ecoli_00094,2.5677569408,-0.1341524655
ecoli_00095,2.6073213222,-0.1515445735
ecoli_00096,-1.8878984068,-0.3916882325
ecoli_00097,-0.8843942444,-0.12611743450000001
ecoli_00098,-12.7773862398,-1.6231970045000002
ecoli_00099,-12.0173986086,-1.9313957055
ecoli_00100,-7.1032550807,-0.7906842455
ecoli_00101,-14.5140611519,-2.3959389855
ecoli_00102,-14.1162510452,-2.4724740365
ecoli_00103,-16.4295308007,-3.7807173775000003
ecoli_00104,-16.3794374278,-3.8310427685
ecoli_00105,-4.8304992895000005,-1.0349503855
ecoli_00106,-9.0336681243,-2.0598013055
ecoli_00107,-9.0873201241,-1.8432232455
ecoli_00108,-3.8547507234,-0.4147074605
ecoli_00109,-3.204611074,-0.0268740815
ecoli_00110,-2.262940255,-1.2687447835
ecoli_00111,-2.7006580343,-1.3185563105
ecoli_00112,-1.8163391127000001,-1.0371191905
ecoli_00113,1.8572453855000002,-0.2700508705
ecoli_00114,2.0255904262,-0.3513296575
ecoli_00115,1.7232034828,-0.3897686635
ecoli_00116,10.8919590054,1.1948374065
ecoli_00117,10.0397182891,0.7470562885
ecoli_00118,10.6359857088,1.2226409835
ecoli_00119,9.9030242031,0.7165756065000001
ecoli_00120,10.1300225305,0.6537706495000001
ecoli_00121,10.4150148868,0.8757698375
ecoli_00122,6.3078177487,-0.48771154250000004
ecoli_00123,6.7671378963,-0.4297659245
ecoli_00124,7.1085800366,-0.2743316055
ecoli_00125,-18.2302016892,-3.5605257545
ecoli_00126,-18.3046247353,-4.5700092355
ecoli_00127,-17.1111949248,-3.6301086555
ecoli_00128,-17.5247036965,-4.0755330465
ecoli_00129,-16.9976536071,-2.6778444525
ecoli_00130,-18.2322959648,-3.9846037045
ecoli_00131,-17.0016726259,-3.1232451655
ecoli_00132,-2.9218323757,-0.6641676675
ecoli_00133,-11.0793541678,-2.4926936955
ecoli_00134,-14.8451737235,-3.3215281885
ecoli_00135,-12.4786812147,-2.5676270685
ecoli_00136,-17.3631447659,-3.7653167725000003
ecoli_00137,-15.7623484696,-3.2485777455
ecoli_00138,-7.2001830672,-2.3587458455
ecoli_00139,-10.2381800673,-1.6374206695
ecoli_00140,-15.8629429002,-2.2969533875
ecoli_00141,-14.188789701,-2.4741213105
ecoli_00142,11.6814547003,1.5725522955
ecoli_00143,2.7378099873,1.0121943235
ecoli_00144,-0.11290818620000001,-0.5384877405
ecoli_00145,2.2534176692,0.1949208375
ecoli_00146,-12.9281304751,-0.8785478975000001
ecoli_00147,-11.5066487832,-1.4678291235
ecoli_00148,-12.6271610705,-1.4820735955
ecoli_00149,-8.0191710926,-0.5866332855
ecoli_00150,-12.3998193981,-0.9423013995
ecoli_00151,-13.8808796918,-1.8214672175
ecoli_00152,-15.6691538339,-2.5037119015
ecoli_00153,-5.9672630128,-0.5179192585
ecoli_00154,-10.2657854583,-0.18483118950000002
ecoli_00155,-9.5950349068,-0.9389855945000001
ecoli_00157,-9.3520868044,-0.2074226065
ecoli_00158,-13.1471776795,-1.9561528685
ecoli_00159,-15.0105043403,-1.9803755385000001
ecoli_00160,-16.1478642551,-2.2334857265
ecoli_00169,-8.5986837651,-2.6820876755
ecoli_00170,-8.4719248175,-2.7018631905
ecoli_00171,-7.7912611785,-2.8471762915000003
ecoli_00172,-5.1139208711,-1.7290232895000002
ecoli_00173,-7.4756455815,-2.5679504395
ecoli_00174,-7.1177866885,-2.3577456785
ecoli_00175,-8.0041052926,-1.4912708385
ecoli_00176,-6.6721360807,-1.3227017195
ecoli_00177,-11.5081574012,-0.2893386785
ecoli_00178,-12.5784923105,-0.7855878285
ecoli_00179,-9.7645715284,-2.5893977465
ecoli_00180,-9.6082934583,-2.8568834615
ecoli_00181,-3.8009679259,-1.8183923305
ecoli_00182,-4.5343770517,-2.0743621715
ecoli_00183,11.6156289509,1.1866750015
ecoli_00184,11.586383865,1.3401015795
ecoli_00185,-5.4912279843,-1.7561430025
ecoli_00186,-6.664637948,-1.9421576475000002
ecoli_00187,6.4824830731,-0.1420198365
ecoli_00188,6.0336603111,-0.4840179345
ecoli_00189,-9.7329334319,-2.7535215385000003
ecoli_00190,-9.6957473735,-2.7243186135
ecoli_00191,-2.6948963859,-1.4441016815
ecoli_00192,-0.9797671394,-1.0161573185
ecoli_00193,-8.3004932129,-2.0696088345
ecoli_00194,-7.4041944327,-1.8934059435
ecoli_00195,-15.8178562855,-3.5665444835
ecoli_00196,-11.3640286352,-2.4868514615
