,insA_1
Cr_1,-0.005867919184850681
Cr_2,-0.0086293108772967
Cr_3,-0.0138176994743213
Cr_4,-0.008928849086533115
Cr_5,-0.006909141102067578
Cr_6,0.0018060356302317395
Fe_1,-0.0178195578624395
Fe_2,-0.03695021826278985
Fe_3,-0.0416097662698452
Fe_4,-0.054673089925261764
Fe_5,-0.05404130063073216
Fe_6,-0.05044258060107913
Cd_1,0.0023889053093622977
Cd_2,0.00384104617874449
Cd_3,0.008178142142112089
Cd_4,0.014585517213214846
Cd_5,0.01853571465245517
Cd_6,0.02661279140642311
Zn_1,-0.003750930018246225
Zn_2,0.014801890847395131
Zn_3,0.0550963701407014
Zn_4,0.05916463629311339
Zn_5,0.05106431691057658
Zn_6,0.010931724834015872
Cu_1,0.0015105249793877634
Cu_2,0.0010451079419998444
Cu_3,0.0022144538163912913
Cu_4,0.010908304013133877
Cu_5,0.0188789795131171
Cu_6,0.01836896905728834
Pb_1,0.007295900632353242
Pb_2,0.01449624460657598
Pb_3,0.009494680282499774
Pb_4,0.01884900199428796
Pb_5,0.035518694743011205
Pb_6,0.05181271138796379
