,dam
Cr_1,-0.009018404581043794
Cr_2,-0.017084361629749394
Cr_3,-0.02486738409580013
Cr_4,-0.03609407725064142
Cr_5,-0.040289267090158426
Cr_6,-0.041330226537729185
Fe_1,-0.03465088452665279
Fe_2,-0.10485959378375352
Fe_3,-0.16752801776163398
Fe_4,-0.22910515646277066
Fe_5,-0.2841182855311202
Fe_6,-0.3382307980261223
Cd_1,0.001463506187842583
Cd_2,-0.0005917733565542517
Cd_3,-6.179667292843753e-05
Cd_4,0.003142911872699843
Cd_5,0.0007905121769419289
Cd_6,0.0009770603494704561
Zn_1,-0.0106567599512226
Zn_2,-0.02274033135080262
Zn_3,-0.0307211336068583
Zn_4,-0.02379792654361805
Zn_5,-0.012323470265467179
Zn_6,0.015058939514111584
Cu_1,0.014010961045024877
Cu_2,0.01829187164842106
Cu_3,0.026625357617291387
Cu_4,0.0348694840960633
Cu_5,0.033495981065331235
Cu_6,0.02349112889980569
Pb_1,-0.00569739970335257
Pb_2,-0.012717095431510684
Pb_3,-0.009654779649099537
Pb_4,-0.00048664638193938477
Pb_5,0.006492798298656364
Pb_6,0.012703040820032423
